#qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
90.0 0.002 0.44466 1.27 0.063070613 3.4101 3.3002 4.96619
120.0 0.002 0.59289 1.3558 0.02256078316 0.70053 0.91241 1.66402
150.0 0.002 0.74111 1.3552 0.03133723824 1.0345 1.7674 2.31237
2.7 0.002 0.01334 0.4812 0.01467857292 0.90639 2.74 3.05041
3.5 0.002 0.017292 0.5684 0.00748474804 0.5073 0.8683 1.31681
4.5 0.002 0.022233 0.6154 0.0112024339 0.87967 1.3119 1.82035
6.5 0.002 0.032115 0.69498 0.00980721027 0.75566 0.87248 1.41115
8.5 0.002 0.041996 0.76863 0.014340944814 0.98506 1.316 1.86578
10.0 0.002 0.049407 0.80175 0.02280962715 2.0405 1.7702 2.84498
12.0 0.002 0.059289 0.85138 0.013624549002 1.0318 0.93683 1.60029
15.0 0.002 0.074111 0.86832 0.01028481624 0.52851 0.6653 1.18445
18.0 0.002 0.088933 0.93994 0.010582596472 0.51006 0.618 1.12588
22.0 0.002 0.1087 0.99039 0.018654887001 1.1461 1.2375 1.88359
27.0 0.002 0.1334 1.0437 0.01177366659 0.51739 0.6445 1.12807
35.0 0.002 0.17292 1.099 0.0116436852 0.51804 0.54857 1.05948
45.0 0.002 0.22233 1.1521 0.01156328207 0.43853 0.53234 1.00367
60.0 0.002 0.29644 1.2342 0.012073524474 0.46378 0.46966 0.978247
70.0 0.002 0.34585 1.2456 0.024202008 1.1482 1.3589 1.943
90.0 0.002 0.44466 1.3275 0.0192463605 0.78869 0.95262 1.44982
120.0 0.002 0.59289 1.3613 0.01879288263 0.59538 0.74311 1.38051
150.0 0.002 0.74111 1.3807 0.02692282158 0.88422 1.5093 1.94994
