# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
3.5 0.008 0.0043231 0.46195 0.007791017725 0.59138 1.1236 1.68655
15.0 0.008 0.018528 0.63212 0.007452189104 0.50668 0.72503 1.17892
18.0 0.008 0.022233 0.664 0.0075512736 0.45196 0.66407 1.13724
22.0 0.008 0.027174 0.65607 0.017992457322 2.4307 0.93017 2.74246
27.0 0.008 0.03335 0.7073 0.00829860944 0.57595 0.66369 1.17328
35.0 0.008 0.043231 0.74595 0.00849950349 0.60429 0.57581 1.13942
45.0 0.008 0.055583 0.7804 0.00889242388 0.66864 0.5282 1.13947
60.0 0.008 0.074111 0.8185 0.00978868705 0.72926 0.56378 1.19593
70.0 0.008 0.086462 0.81942 0.015175576458 1.6158 0.48004 1.85199
90.0 0.008 0.11117 0.88253 0.011440942414 0.86816 0.5609 1.29638
120.0 0.008 0.14822 0.89275 0.01089672795 0.74619 0.62308 1.22058
150.0 0.008 0.18528 0.92693 0.013779463301 0.90711 0.89506 1.48657
200.0 0.008 0.24704 0.94762 0.009529835292 0.50147 0.4235 1.00566
250.0 0.008 0.30879 0.95192 0.009942709208 0.56474 0.41621 1.04449
300.0 0.008 0.37055 0.96895 0.010940317555 0.69469 0.42069 1.12909
400.0 0.008 0.49407 1.0179 0.01333021482 0.84918 0.59149 1.30958
500.0 0.008 0.61759 0.99848 0.021082805352 1.7354 0.89009 2.11149
