# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
1.5 0.00032 0.046319 0.57686 0.018158052964 1.4874 2.2576 3.14774
2.0 0.00032 0.061759 0.62657 0.014631975925 1.0084 1.6479 2.33525
2.7 0.00032 0.083374 0.69971 0.012627106602 0.84139 1.2742 1.80462
3.5 0.00032 0.10808 0.79091 0.0112625584 0.72049 0.87684 1.424
4.5 0.00032 0.13896 0.89331 0.013234030326 0.80314 0.95816 1.48146
6.5 0.00032 0.20072 1.0013 0.01274214328 0.75373 0.65722 1.27256
8.5 0.00032 0.26248 1.107 0.0141859836 0.71347 0.75468 1.28148
10.0 0.00032 0.30879 1.1381 0.02738757983 1.9196 1.12 2.40643
12.0 0.00032 0.37055 1.2227 0.01507650235 0.7616 0.57433 1.23305
15.0 0.00032 0.46319 1.3127 0.02020035268 0.84519 0.70292 1.53884
22.0 0.00032 0.67935 1.4306 0.04611410346 1.2585 2.8062 3.22341
