# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use masses: true, scheme:0
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.104, alphas_scaling=14.5, gamma=1, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=48.4781, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.104000_asC^214.500000_gamma1.000000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.008
# printing dipole at xbj=0.005
# printing dipole at xbj=0.0032
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=0.0008
# printing dipole at xbj=0.0001
# printing dipole at xbj=1e-05
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.118663       0.0193181       0.0993448 
         0.0001        0.367869       0.0361503        0.278919       0.0467576        0.232193 
          0.002         0.55543      0.00272909        0.234892       0.0436323         0.19126 
          0.008            0.25     0.000307092        0.121949       0.0197833        0.102166 
          1e-05        0.367869        0.361503        0.364242       0.0600351         0.30978 
          0.008         0.83862      0.00103013        0.232644        0.045108        0.187536 
           0.01          1.2662      0.00124429        0.267242       0.0524824         0.21476 
          0.005            0.25     0.000491347        0.129253       0.0208179        0.108435 
          0.001         1.86318       0.0183094        0.480255       0.0963081        0.383963 
          0.001         0.55543      0.00545818        0.260753       0.0481807        0.212573 
           0.01        0.377465     0.000370933        0.150741       0.0267881        0.123953 
         0.0032            0.25      0.00076773        0.136821       0.0218895        0.114932 
          0.005         2.81314      0.00552891        0.415907       0.0818418        0.334066 
          0.005         0.83862      0.00164822        0.251241       0.0487346        0.202507 
         0.0008            6.25        0.076773        0.820555        0.162255        0.658816 
         0.0008         0.55543      0.00682272        0.269585        0.049723        0.219863 
          0.008        0.377465     0.000463666        0.155377       0.0275465         0.12783 
          0.002            0.25      0.00122837        0.145426       0.0231033        0.122322 
           0.01         4.24744      0.00417394        0.411753       0.0783676        0.333386 
          0.001            0.25      0.00245674        0.159297        0.025048         0.13425 
          0.008          1.2662      0.00155536        0.278333       0.0547732         0.22356 
         0.0032         9.43662       0.0289791        0.691966        0.130523        0.561499 
         0.0008         1.86318       0.0228867        0.500064        0.100362        0.399729 
         0.0001         0.55543       0.0545818        0.363337       0.0657828        0.297657 
          0.005        0.377465     0.000741865        0.165634       0.0292203        0.136414 
         0.0032         0.83862      0.00257534        0.270279       0.0524099        0.217869 
         0.0008            0.25      0.00307092        0.164028       0.0257069        0.138322 
           0.01          14.248       0.0140014        0.584336        0.103152        0.481193 
          1e-05         0.55543        0.545818        0.468824       0.0864677        0.403711 
         0.0001            0.25       0.0245674        0.213879       0.0324901        0.181399 
         0.0032        0.377465      0.00115916         0.17621       0.0309371        0.145273 
           0.01         21.5124       0.0211401        0.650254        0.111672        0.538608 
          0.002          31.655        0.155536         1.11048         0.19862        0.914663 
         0.0032         2.81314      0.00863892        0.455614       0.0902922        0.365325 
          1e-05            0.25        0.245674        0.277965       0.0408961        0.238642 
         0.0001         1.86318        0.183094        0.712395        0.143884        0.571404 
          0.005          1.2662      0.00248857        0.302726       0.0597795        0.242947 
          0.002         0.83862      0.00412054        0.291788       0.0565273        0.235261 
          0.002        0.377465      0.00185466        0.188194       0.0328714        0.155323 
         0.0001            6.25        0.614184         1.16422        0.251986        0.994969 
          0.008         47.7945       0.0587093        0.844051        0.139066         0.70524 
           0.01        0.569918     0.000560056        0.186921       0.0351523        0.151769 
           0.01          72.163       0.0709142        0.866686        0.137513        0.729544 
          0.008         4.24744      0.00521742        0.433431        0.083051        0.350381 
           0.01        0.256521     0.000252082        0.120539       0.0197515        0.100788 
          0.001        0.377465      0.00370933        0.207496       0.0359599        0.171536 
          0.002         106.186        0.521742         1.47195        0.253789         1.27439 
          0.008        0.256521     0.000315103          0.1239        0.020232        0.103668 
          0.001         0.83862      0.00824108        0.326434       0.0630955        0.263341 
          0.008        0.569918      0.00070007        0.193304       0.0363178        0.156986 
         0.0008        0.377465      0.00463666        0.214082       0.0370063        0.177076 
         0.0032          1.2662       0.0038884        0.327686       0.0648501        0.262836 
          0.002         9.43662       0.0463666        0.772712        0.147513        0.625366 
          0.005        0.256521     0.000504164        0.131364       0.0212999        0.110064 
          0.002         2.81314       0.0138223        0.500615        0.099811        0.400814 
         0.0001        0.377465       0.0370933        0.283725       0.0478308        0.235928 
           0.01         1.91178       0.0018787        0.313452       0.0614632        0.251989 
          0.005        0.569918      0.00112011        0.207402       0.0388754        0.168526 
         0.0032        0.256521     0.000787757        0.139097       0.0224055        0.116691 
         0.0008         0.83862       0.0103013        0.338282       0.0653262        0.272959 
          1e-05        0.377465        0.370933        0.370516       0.0615041        0.315075 
          0.002        0.256521      0.00126041        0.147879       0.0236569        0.124222 
          0.008          14.248       0.0175017        0.620669        0.110671        0.510015 
         0.0032        0.569918      0.00175017        0.221869       0.0414758        0.180394 
          0.002          1.2662      0.00622143        0.355881       0.0705323         0.28535 
           0.01        0.387311     0.000380609        0.152886       0.0272886        0.125597 
           0.01         6.41303      0.00630205        0.467174        0.086853        0.380322 
          0.005         4.24744      0.00834787         0.48119        0.093327        0.387866 
          0.001        0.256521      0.00252082        0.162055       0.0256618        0.136393 
         0.0001         0.83862       0.0824108        0.464682       0.0887378        0.376271 
          0.001          31.655        0.311072         1.31453        0.242203         1.08822 
          0.001         2.81314       0.0276446        0.573697        0.115174        0.458568 
         0.0008        0.256521      0.00315103        0.166887       0.0263411        0.140546 
          0.008         1.91178      0.00234837        0.327675       0.0644929        0.263182 
          0.008         21.5124       0.0264252        0.692475        0.120206        0.572312 
          0.002        0.569918      0.00280028        0.238233       0.0443986        0.193835 
          1e-05         0.83862        0.824108        0.559988        0.119597        0.519178 
         0.0001        0.256521       0.0252082        0.217807       0.0333359        0.184482 
          0.008        0.387311     0.000475761        0.157619       0.0280691        0.129549 
          0.001          1.2662       0.0124429        0.401399       0.0796154         0.32179 
          0.001         9.43662       0.0927331        0.905166        0.175474         0.73052 
          1e-05        0.256521        0.252082        0.283231       0.0420137         0.24293 
          0.001        0.569918      0.00560056        0.264588        0.049059         0.21553 
          0.005         47.7945       0.0939348        0.966293        0.162747        0.804334 
          0.005        0.387311     0.000761217         0.16809       0.0297906        0.138299 
           0.01        0.263213     0.000258658        0.122433       0.0201896        0.102244 
           0.01        0.860496     0.000845605        0.226795       0.0440146         0.18278 
         0.0032         4.24744       0.0130436        0.530232        0.103805        0.426436 
         0.0008         2.81314       0.0345557        0.598834        0.120438         0.47847 
          0.005         1.91178      0.00375739         0.35896        0.071115        0.287846 
          0.008        0.263213     0.000323322        0.125868       0.0206858        0.105182 
         0.0032        0.387311       0.0011894        0.178881       0.0315554        0.147326 
         0.0008        0.569918       0.0070007         0.27359       0.0506396        0.222952 
          0.008          72.163       0.0886427         0.92883        0.149187        0.780283 
          0.005        0.263213     0.000517316        0.133497        0.021788        0.111709 
          0.008         6.41303      0.00787757        0.493374       0.0924685        0.400908 
           0.01         108.956         0.10707        0.948298        0.146788        0.802446 
         0.0008          1.2662       0.0155536         0.41699       0.0827087        0.334291 
          0.002        0.387311      0.00190304        0.191106       0.0335429        0.157564 
         0.0001        0.569918       0.0560056        0.369157       0.0670997        0.302169 
          0.005          14.248       0.0280028         0.70115        0.127338        0.573864 
          0.008        0.860496      0.00105701        0.235389       0.0457064        0.189682 
         0.0032        0.263213     0.000808306        0.141397       0.0229282        0.118468 
          0.001        0.387311      0.00380609          0.2108        0.036717        0.174083 
          1e-05        0.569918        0.560056        0.475386       0.0883365        0.410264 
         0.0001         2.81314        0.276446        0.865633        0.177517        0.697021 
         0.0032         1.91178      0.00587093        0.390979       0.0778241        0.313156 
         0.0001          1.2662        0.124429        0.583944        0.115491        0.469465 
         0.0008         9.43662        0.115916        0.950916        0.185202        0.767111 
         0.0008          31.655         0.38884         1.37846        0.257578         1.14924 
          0.002        0.263213      0.00129329        0.150367       0.0242184        0.126149 
         0.0008        0.387311      0.00475761         0.21752        0.037792        0.179729 
          0.005        0.860496      0.00169121        0.254314       0.0494078        0.204906 
          0.002         4.24744       0.0208697        0.585994        0.115673        0.470347 
          0.005         21.5124       0.0422803        0.786208        0.139194        0.647144 
           0.01        0.584785     0.000574665        0.189309        0.035696        0.153613 
         0.0001        0.387311       0.0380609        0.288594       0.0489195        0.239711 
          0.001        0.263213      0.00258658        0.164846       0.0262849        0.138561 
          1e-05        0.387311        0.380609        0.376841       0.0629932        0.320443 
         0.0008        0.263213      0.00323322        0.169781        0.026985        0.142796 
         0.0032        0.860496      0.00264252        0.273695       0.0531673        0.220528 
           0.01         1.29923      0.00127674        0.270039       0.0530469        0.216992 
          0.008        0.584785     0.000718331        0.195823       0.0368907        0.158932 
          0.002         1.91178      0.00939348        0.427193       0.0853533        0.341843 
          0.005         6.41303       0.0126041        0.551253        0.104834        0.446428 
         0.0001        0.263213       0.0258658        0.221797       0.0341942        0.187615 
           0.01         2.88652      0.00283657        0.362727       0.0702728        0.292454 
         0.0032         47.7945        0.146773         1.09369        0.187693        0.908336 
           0.01        0.397414     0.000390537        0.155044       0.0277926        0.127251 
          1e-05        0.263213        0.258658        0.288571       0.0431533        0.247281 
         0.0032          14.248       0.0437544        0.784678        0.144641        0.640181 
          0.005        0.584785      0.00114933        0.210185       0.0395118        0.170673 
          0.002        0.860496      0.00422803        0.295584       0.0573735        0.238211 
          0.008        0.397414     0.000488171        0.159878       0.0285956        0.131282 
           0.01        0.270079     0.000265405        0.124344       0.0206326        0.103712 
          0.001         4.24744       0.0417394        0.676866        0.134947        0.542042 
         0.0001         9.43662        0.927331         1.22202        0.294902         1.17939 
          0.008         1.29923      0.00159593        0.281311       0.0553806        0.225931 
          0.001         1.91178        0.018787        0.485802       0.0974491        0.388371 
          0.005          72.163        0.141828          1.0668        0.175289        0.893537 
          0.008        0.270079     0.000331756        0.127856        0.021145        0.106711 
          0.005        0.397414     0.000781074        0.170565       0.0303659          0.1402 
         0.0032        0.584785      0.00179583        0.224933       0.0421807        0.182753 
          0.001        0.860496      0.00845605        0.330845       0.0640847        0.266763 
          0.005        0.270079      0.00053081        0.135652       0.0222823        0.113369 
         0.0032        0.397414      0.00122043        0.181577       0.0321797        0.149397 
          0.008         2.88652      0.00354571        0.380578       0.0741289        0.306449 
          0.008         108.956        0.133838         1.01784        0.159524        0.859949 
         0.0032        0.270079     0.000829391        0.143721       0.0234577        0.120264 
         0.0032         21.5124       0.0660629        0.883755        0.159013        0.725112 
           0.01         32.4807       0.0319186        0.720023        0.120267        0.599819 
          0.002        0.584785      0.00287333        0.241602       0.0451703        0.196432 
          0.005         1.29923      0.00255349        0.306104       0.0604815        0.245622 
         0.0032         6.41303       0.0196939        0.610852        0.117516        0.493359 
         0.0008        0.860496       0.0105701        0.342906       0.0663643        0.276546 
          0.002        0.397414      0.00195268        0.194049        0.034222        0.159827 
          0.002        0.270079      0.00132703        0.152884       0.0247877        0.128096 
         0.0008         1.91178       0.0234837        0.505925         0.10158        0.404374 
         0.0008         4.24744       0.0521742        0.708209         0.14158        0.566832 
          0.001        0.584785      0.00574665        0.268459       0.0499451        0.218515 
          0.001        0.270079      0.00265405        0.167661       0.0269171        0.140744 
          0.001        0.397414      0.00390537        0.214139       0.0374821        0.176657 
         0.0001        0.860496       0.0845605        0.471604       0.0903007        0.381654 
          0.002          14.248        0.070007        0.880378        0.164515        0.716295 
         0.0008        0.270079      0.00331756        0.172702       0.0276386        0.145063 
         0.0008        0.584785      0.00718331        0.277632       0.0515643        0.226069 
         0.0008        0.397414      0.00488171        0.220995       0.0385869        0.182409 
         0.0032         1.29923      0.00398983         0.33147       0.0656484        0.265823 
          0.005         2.88652      0.00567313        0.419851       0.0825602        0.337293 
         0.0001         1.91178         0.18787        0.721517        0.145887        0.578733 
          0.002         47.7945        0.234837         1.23826         0.21687         1.02894 
         0.0001        0.270079       0.0265405        0.225846       0.0350699        0.190789 
          1e-05        0.860496        0.845605         0.56395          0.1219        0.527185 
         0.0001        0.397414       0.0390537        0.293524        0.050024         0.24354 
         0.0001        0.584785       0.0574665        0.375048       0.0684349        0.306732 
          1e-05        0.270079        0.265405         0.29398       0.0443147        0.251693 
           0.01         9.68278      0.00951521         0.52598        0.095269        0.430716 
         0.0001         4.24744        0.417394         1.02799        0.214474        0.841414 
          1e-05        0.397414        0.390537        0.383257        0.064506        0.325925 
          0.002         6.41303       0.0315103        0.678825        0.131942        0.546951 
           0.01        0.277124     0.000272328        0.126284       0.0210803        0.105204 
          1e-05        0.584785        0.574665        0.481899       0.0902327          0.4169 
          0.002         1.29923      0.00638372        0.360125       0.0714374         0.28869 
           0.01        0.882943     0.000867663        0.229403       0.0445768        0.184826 
          0.008        0.277124      0.00034041        0.129874       0.0216092        0.108265 
         0.0032          72.163        0.221607         1.20969        0.203122         1.01278 
           0.01        0.407781     0.000400724         0.15722          0.0283        0.128921 
