# === Perturbative settings ===
# Settings: lopc (scheme), lobk, balsdrc
# Use masses: true, scheme:3
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.104, alphas_scaling=14.5, gamma=1, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=48.4781, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.104000_asC^214.500000_gamma1.000000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.008
# printing dipole at xbj=0.005
# printing dipole at xbj=0.0032
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=0.0008
# printing dipole at xbj=0.0001
# printing dipole at xbj=1e-05
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.125008       0.0193693        0.105638 
         0.0001        0.367869       0.0361503        0.309706       0.0470998        0.262639 
          0.002         0.55543      0.00272909         0.25689       0.0440035        0.212887 
          0.008         0.83862      0.00103013        0.254415       0.0456493        0.208766 
          0.008            0.25     0.000307092        0.128759       0.0198381        0.108921 
          1e-05        0.367869        0.361503        0.413919       0.0605744        0.358969 
           0.01          1.2662      0.00124429        0.296859       0.0535357        0.243323 
          0.001         1.86318       0.0183094        0.561254        0.100162        0.461109 
          0.001         0.55543      0.00545818        0.287197       0.0486237        0.238574 
          0.005            0.25     0.000491347        0.137092       0.0208807        0.116212 
          0.005         2.81314      0.00552891        0.489333       0.0866493        0.402685 
           0.01        0.377465     0.000370933        0.160217       0.0269016        0.133316 
         0.0008            6.25        0.076773         1.04894        0.186231        0.863298 
           0.01         4.24744      0.00417394        0.493675       0.0854125        0.408263 
          0.005         0.83862      0.00164822        0.276332       0.0493555        0.226977 
         0.0032            0.25      0.00076773        0.145732       0.0219605        0.123771 
         0.0008         0.55543      0.00682272        0.297587        0.050191        0.247397 
          0.008          1.2662      0.00155536        0.310147       0.0559021        0.254245 
         0.0032         9.43662       0.0289791         0.89699        0.156653        0.740405 
          0.008        0.377465     0.000463666        0.165549       0.0276679        0.137881 
         0.0008         1.86318       0.0228867        0.585899        0.104438         0.48149 
          0.002            0.25      0.00122837        0.155568       0.0231837        0.132384 
           0.01          14.248       0.0140014         0.76703        0.130044        0.636999 
         0.0001         0.55543       0.0545818        0.409217       0.0665333        0.342788 
         0.0032         0.83862      0.00257534        0.298819        0.053113        0.245707 
          0.005        0.377465     0.000741865        0.177348       0.0293594        0.147988 
           0.01         21.5124       0.0211401        0.877563        0.148663        0.728934 
          0.001            0.25      0.00245674        0.171481       0.0251439        0.146337 
         0.0032         2.81314      0.00863892        0.539325       0.0957538        0.443575 
          0.002          31.655        0.155536         1.56927        0.278679         1.29452 
          1e-05         0.55543        0.545818        0.542709        0.087652        0.476705 
          0.005          1.2662      0.00248857         0.33941       0.0610753        0.278335 
         0.0001         1.86318        0.183094        0.853791        0.150479        0.706338 
         0.0001            6.25        0.614184         1.53355        0.291607         1.33769 
         0.0008            0.25      0.00307092        0.176927       0.0258082        0.151119 
         0.0032        0.377465      0.00115916        0.189526       0.0310945        0.158432 
          0.008         4.24744      0.00521742        0.521583       0.0906206        0.430964 
          0.002         0.83862      0.00412054        0.324296       0.0573243        0.266972 
          0.008         47.7945       0.0587093          1.1957        0.202599         0.99347 
         0.0001            0.25       0.0245674        0.234979       0.0326522        0.202336 
