# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use masses: true, scheme:0
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.104, alphas_scaling=14.5, gamma=1, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=48.4781, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.104000_asC^214.500000_gamma1.000000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.001
# printing dipole at xbj=0.0001
# printing dipole at xbj=1e-05
# printing dipole at xbj=0.0008
# printing dipole at xbj=0.0013
# printing dipole at xbj=0.002
# printing dipole at xbj=0.0032
# printing dipole at xbj=0.005
# printing dipole at xbj=0.008
# Asking for too large Bjorken-x, skipping at xbj=0.013
# Asking for too large Bjorken-x, skipping at xbj=0.02
# Asking for too large Bjorken-x, skipping at xbj=0.032
# Asking for too large Bjorken-x, skipping at xbj=0.05
# Asking for too large Bjorken-x, skipping at xbj=0.08
# Asking for too large Bjorken-x, skipping at xbj=0.13
# Asking for too large Bjorken-x, skipping at xbj=0.18
# Asking for too large Bjorken-x, skipping at xbj=0.25
# Asking for too large Bjorken-x, skipping at xbj=0.4
# Asking for too large Bjorken-x, skipping at xbj=0.65
# printing dipole at xbj=0.00013
# printing dipole at xbj=0.0005
# printing dipole at xbj=0.0002
# printing dipole at xbj=0.00032
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.118663       0.0193181       0.0993448 
            0.4        0.367869     9.03757e-06        0.148612        0.026291        0.122321 
           0.02         0.55543     0.000272909        0.184542       0.0346112        0.149931 
          0.001            0.25      0.00245674        0.159297        0.025048         0.13425 
         0.0008         0.83862       0.0103013        0.338282       0.0653262        0.272959 
         0.0005         1.23401       0.0242531        0.445533       0.0882221        0.357337 
         0.0001            0.25       0.0245674        0.213879       0.0324901        0.181399 
           0.65        0.367869     5.56158e-06        0.148612        0.026291        0.122321 
          1e-05            0.25        0.245674        0.277965       0.0408961        0.238642 
          0.032         0.55543     0.000170568        0.184542       0.0346112        0.149931 
           0.05         1.86318     0.000366187        0.310468       0.0609065        0.249561 
         0.0013         2.81314        0.021265        0.545095        0.109165        0.435955 
        0.00013        0.367869       0.0278079         0.26951       0.0453332        0.224195 
         0.0002         4.13946        0.203391         0.91355        0.185816        0.732437 
         0.0008            0.25      0.00307092        0.164028       0.0257069        0.138322 
         0.0013         0.83862      0.00633929         0.31291       0.0605413         0.25237 
         0.0002         1.23401       0.0606327        0.517075        0.102208        0.415066 
         0.0005        0.367869      0.00723005        0.224844       0.0384502        0.186394 
           0.05         0.55543     0.000109164        0.184542       0.0346112        0.149931 
         0.0013            0.25       0.0018898        0.153888       0.0242917        0.129596 
        0.00032         13.8857         0.42642         1.29923        0.259307         1.07541 
          0.002         9.43662       0.0463666        0.772712        0.147513        0.625366 
           0.08            6.25      0.00076773        0.463612        0.086323        0.377289 
         0.0002        0.367869       0.0180751        0.254588       0.0430545         0.21154 
          0.002            0.25      0.00122837        0.145426       0.0231033        0.122322 
          0.002         0.83862      0.00412054        0.291788       0.0565273        0.235261 
           0.08         1.86318     0.000228867        0.310468       0.0609065        0.249561 
           0.08         0.55543     6.82272e-05        0.184542       0.0346112        0.149931 
         0.0032            0.25      0.00076773        0.136821       0.0218895        0.114932 
        0.00032         1.23401       0.0378954        0.479451       0.0948673        0.384655 
        0.00032        0.367869        0.011297        0.238988       0.0406496        0.198341 
           0.13         20.9655      0.00158482        0.646021        0.111103        0.534918 
          0.002         2.81314       0.0138223        0.500615        0.099811        0.400814 
        0.00032         4.13946         0.12712        0.838305         0.16938        0.670478 
         0.0032          31.655       0.0972099        0.982499        0.172769        0.810629 
          0.005            0.25     0.000491347        0.129253       0.0208179        0.108435 
           0.13         0.55543      4.1986e-05        0.184542       0.0346112        0.149931 
           0.01        0.377465     0.000370933        0.150741       0.0267881        0.123953 
         0.0032         0.83862      0.00257534        0.270279       0.0524099        0.217869 
          0.008            0.25     0.000307092        0.121949       0.0197833        0.102166 
           0.01         47.7945       0.0469674        0.789088        0.128529        0.660708 
           0.18         70.3284      0.00383952         0.86209        0.136979        0.725112 
          0.001        0.377465      0.00370933        0.207496       0.0359599        0.171536 
           0.01          1.2662      0.00124429        0.267242       0.0524824         0.21476 
          0.005         106.186        0.208697         1.16479        0.187404        0.982405 
          0.013            0.25      0.00018898        0.118663       0.0193181       0.0993448 
           0.13         1.86318     0.000140841        0.310468       0.0609065        0.249561 
           0.18         0.55543     3.03232e-05        0.184542       0.0346112        0.149931 
          0.005         0.83862      0.00164822        0.251241       0.0487346        0.202507 
           0.02            0.25     0.000122837        0.118663       0.0193181       0.0993448 
