# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use masses: true, scheme:0
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.06, alphas_scaling=7.2, gamma=1, e_c=18.9, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=42.0125, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.060000_asC^27.200000_gamma1.000000_ec18.900000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.001
# printing dipole at xbj=0.0001
# printing dipole at xbj=1e-05
# printing dipole at xbj=0.0008
# printing dipole at xbj=0.0013
# printing dipole at xbj=0.002
# printing dipole at xbj=0.0032
# printing dipole at xbj=0.005
# printing dipole at xbj=0.008
# Asking for too large Bjorken-x, skipping at xbj=0.013
# Asking for too large Bjorken-x, skipping at xbj=0.02
# Asking for too large Bjorken-x, skipping at xbj=0.032
# Asking for too large Bjorken-x, skipping at xbj=0.05
# Asking for too large Bjorken-x, skipping at xbj=0.08
# Asking for too large Bjorken-x, skipping at xbj=0.13
# Asking for too large Bjorken-x, skipping at xbj=0.18
# Asking for too large Bjorken-x, skipping at xbj=0.25
# Asking for too large Bjorken-x, skipping at xbj=0.4
# Asking for too large Bjorken-x, skipping at xbj=0.65
# printing dipole at xbj=0.00013
# printing dipole at xbj=0.0005
# printing dipole at xbj=0.0002
# printing dipole at xbj=0.00032
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.135603       0.0224475        0.113155 
            0.4        0.367869     9.03757e-06         0.17058       0.0308536        0.139727 
           0.02         0.55543     0.000272909        0.212283       0.0408845        0.171398 
          0.001            0.25      0.00245674        0.166285       0.0263354         0.13995 
         0.0008         0.83862       0.0103013        0.353504       0.0693102        0.284197 
           0.65        0.367869     5.56158e-06         0.17058       0.0308536        0.139727 
         0.0005         1.23401       0.0242531        0.460274       0.0924918         0.36781 
         0.0001            0.25       0.0245674        0.212176       0.0322422        0.179944 
          0.032         0.55543     0.000170568        0.212283       0.0408845        0.171398 
           0.05         1.86318     0.000366187         0.35122        0.070589        0.280631 
          1e-05            0.25        0.245674        0.267391       0.0391397        0.229756 
        0.00013        0.367869       0.0278079         0.26953       0.0455142        0.224034 
         0.0013         2.81314        0.021265        0.570934         0.11611        0.454852 
         0.0013         0.83862      0.00633929          0.3314         0.06523        0.266172 
         0.0002         4.13946        0.203391        0.922113        0.189718        0.737196 
         0.0008            0.25      0.00307092         0.17016       0.0268401         0.14332 
         0.0005        0.367869      0.00723005        0.231247       0.0398675        0.191381 
         0.0002         1.23401       0.0606327        0.524702        0.104956        0.419951 
           0.05         0.55543     0.000109164        0.212283       0.0408845        0.171398 
         0.0013            0.25       0.0018898        0.161891        0.025763        0.136128 
           0.08            6.25      0.00076773        0.497249       0.0918105        0.405438 
         0.0002        0.367869       0.0180751        0.256659       0.0436296        0.213036 
        0.00032         13.8857         0.42642          1.2918        0.258151         1.06897 
          0.002            0.25      0.00122837        0.155138        0.024886        0.130252 
          0.002         0.83862      0.00412054        0.313196       0.0618507        0.251346 
          0.002         9.43662       0.0463666        0.789059        0.150116        0.639112 
           0.08         0.55543     6.82272e-05        0.212283       0.0408845        0.171398 
           0.08         1.86318     0.000228867         0.35122        0.070589        0.280631 
        0.00032         1.23401       0.0378954        0.490785       0.0984062        0.392453 
        0.00032        0.367869        0.011297        0.243285       0.0416562        0.201631 
         0.0032            0.25      0.00076773        0.148487       0.0240291        0.124458 
          0.002         2.81314       0.0138223        0.529818        0.107318         0.42251 
           0.13         0.55543      4.1986e-05        0.212283       0.0408845        0.171398 
          0.005            0.25     0.000491347        0.142873       0.0233217        0.119552 
           0.13         20.9655      0.00158482        0.641942        0.103546        0.538397 
           0.01        0.377465     0.000370933        0.173063       0.0314544        0.141608 
         0.0032         0.83862      0.00257534        0.294967       0.0584449        0.236522 
         0.0032          31.655       0.0972099        0.953758        0.160548        0.794046 
        0.00032         4.13946         0.12712        0.851399        0.174054        0.678941 
          0.008            0.25     0.000307092        0.137787       0.0227044        0.115083 
          0.001        0.377465      0.00370933        0.217389       0.0380855        0.179304 
           0.18         0.55543     3.03232e-05        0.212283       0.0408845        0.171398 
           0.01          1.2662      0.00124429        0.305224         0.06165        0.243574 
           0.01         47.7945       0.0469674        0.740549        0.108365        0.632309 
          0.013            0.25      0.00018898        0.135603       0.0224475        0.113155 
           0.13         1.86318     0.000140841         0.35122        0.070589        0.280631 
         0.0001        0.377465       0.0370933        0.282529       0.0477893        0.234773 
          0.005         0.83862      0.00164822        0.279167       0.0554745        0.223693 
           0.18         70.3284      0.00383952        0.787513        0.110206        0.677308 
           0.02            0.25     0.000122837        0.135603       0.0224475        0.113155 
           0.25         0.55543     2.18327e-05        0.212283       0.0408845        0.171398 
          0.005         106.186        0.208697         1.05337        0.152935        0.904532 
          1e-05        0.377465        0.370933        0.357819        0.059245        0.304414 
         0.0032         2.81314      0.00863892        0.488353       0.0983668         0.38999 
           0.13            6.25     0.000472449        0.497249       0.0918105        0.405438 
          0.032            0.25      7.6773e-05        0.135603       0.0224475        0.113155 
          0.001          1.2662       0.0124429        0.421521       0.0850482         0.33648 
         0.0032         9.43662       0.0289791        0.710956        0.133059        0.577954 
          0.008         0.83862      0.00103013        0.264199       0.0526433        0.211556 
         0.0008        0.377465      0.00463666        0.222895       0.0389173        0.183978 
           0.05            0.25     4.91347e-05        0.135603       0.0224475        0.113155 
            0.4         0.55543     1.36454e-05        0.212283       0.0408845        0.171398 
           0.18         1.86318     0.000101719         0.35122        0.070589        0.280631 
           0.08            0.25     3.07092e-05        0.135603       0.0224475        0.113155 
         0.0013        0.377465      0.00285333        0.211138       0.0371406        0.173998 
           0.01          14.248       0.0140014         0.59586         0.10057          0.4953 
           0.01         4.24744      0.00417394        0.450714       0.0862344        0.364481 
         0.0001          1.2662        0.124429         0.58593        0.117058        0.469898 
           0.65         0.55543      8.3972e-06        0.212283       0.0408845        0.171398 
           0.13            0.25      1.8898e-05        0.135603       0.0224475        0.113155 
          0.013         0.83862     0.000633929        0.257544       0.0513802        0.206163 
          0.002        0.377465      0.00185466        0.201509       0.0356842        0.165824 
           0.18            0.25     1.36485e-05        0.135603       0.0224475        0.113155 
          0.005         2.81314      0.00552891        0.451979       0.0904209        0.361559 
        0.00013         0.55543        0.041986        0.351568       0.0642435        0.287383 
         0.0032        0.377465      0.00115916        0.191963       0.0342453        0.157718 
           0.25            0.25     9.82695e-06        0.135603       0.0224475        0.113155 
           0.02         0.83862     0.000412054        0.257544       0.0513802        0.206163 
         0.0008          1.2662       0.0155536         0.43544       0.0877881        0.347663 
           0.25         1.86318     7.32374e-05         0.35122        0.070589        0.280631 
            0.4            0.25     6.14184e-06        0.135603       0.0224475        0.113155 
           0.18         20.9655      0.00114459        0.641943        0.103546        0.538397 
         0.0005         0.55543       0.0109164        0.298052       0.0553757        0.242679 
           0.18            6.25     0.000341213        0.497249       0.0918105        0.405438 
          0.005          31.655       0.0622143        0.843929        0.137785        0.706427 
          0.005        0.377465     0.000741865        0.183824       0.0330286        0.150796 
           0.65            0.25      3.7796e-06        0.135603       0.0224475        0.113155 
          0.001         4.24744       0.0417394        0.699593        0.141091         0.55863 
          0.001         47.7945        0.469674         1.39318        0.247806         1.18804 
          0.032         0.83862     0.000257534        0.257544       0.0513802        0.206163 
          0.008        0.377465     0.000463666        0.176328       0.0319269        0.144401 
          0.005         9.43662       0.0185466        0.642613        0.118031        0.524603 
         0.0002         0.55543       0.0272909        0.333557       0.0612803          0.2723 
        0.00013            0.25        0.018898        0.206318       0.0315013        0.174823 
         0.0013          1.2662      0.00957144        0.405703       0.0819234        0.323784 
          0.008         2.81314      0.00345557         0.41681        0.082619        0.334192 
         0.0005            0.25      0.00491347        0.178759       0.0279578        0.150802 
          0.013        0.377465     0.000285333        0.173063       0.0314544        0.141608 
            0.4         1.86318     4.57734e-05         0.35122        0.070589        0.280631 
          0.001          14.248        0.140014         1.03793        0.196405        0.843737 
        0.00032         0.55543       0.0170568        0.314867       0.0581822        0.256693 
         0.0002            0.25       0.0122837        0.197055       0.0303196        0.166738 
           0.05         0.83862     0.000164822        0.257544       0.0513802        0.206163 
           0.02        0.377465     0.000185466        0.173063       0.0314544        0.141608 
           0.25         70.3284      0.00276446        0.787513        0.110206        0.677308 
        0.00032            0.25       0.0076773        0.187428       0.0290807        0.158348 
          0.002          1.2662      0.00622143        0.381172       0.0770563        0.304118 
           0.01        0.569918     0.000560056        0.215018       0.0415337        0.173484 
           0.01        0.256521     0.000252082        0.137795       0.0229681        0.114827 
          0.032        0.377465     0.000115916        0.173063       0.0314544        0.141608 
         0.0001         4.24744        0.417394         1.02891        0.217044        0.840094 
