# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use masses: true, scheme:0
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.165, alphas_scaling=6.35, gamma=1.135, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=42.2436, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.165000_asC^26.350000_gamma1.135000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.001
# printing dipole at xbj=0.0001
# printing dipole at xbj=1e-05
# printing dipole at xbj=0.0008
# printing dipole at xbj=0.0013
# printing dipole at xbj=0.002
# printing dipole at xbj=0.0032
# printing dipole at xbj=0.005
# printing dipole at xbj=0.008
# Asking for too large Bjorken-x, skipping at xbj=0.013
# Asking for too large Bjorken-x, skipping at xbj=0.02
# Asking for too large Bjorken-x, skipping at xbj=0.032
# Asking for too large Bjorken-x, skipping at xbj=0.05
# Asking for too large Bjorken-x, skipping at xbj=0.08
# Asking for too large Bjorken-x, skipping at xbj=0.13
# Asking for too large Bjorken-x, skipping at xbj=0.18
# Asking for too large Bjorken-x, skipping at xbj=0.25
# Asking for too large Bjorken-x, skipping at xbj=0.4
# Asking for too large Bjorken-x, skipping at xbj=0.65
# printing dipole at xbj=0.00013
# printing dipole at xbj=0.0005
# printing dipole at xbj=0.0002
# printing dipole at xbj=0.00032
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.139471       0.0230856        0.116386 
            0.4        0.367869     9.03757e-06         0.17555       0.0317543        0.143796 
          0.001            0.25      0.00245674        0.170394       0.0269526        0.143441 
           0.02         0.55543     0.000272909        0.218596       0.0421091        0.176487 
         0.0008         0.83862       0.0103013        0.363267        0.071219        0.292052 
           0.65        0.367869     5.56158e-06         0.17555       0.0317543        0.143796 
         0.0001            0.25       0.0245674        0.217322       0.0329658        0.184367 
         0.0005         1.23401       0.0242531        0.473435       0.0951657        0.378298 
          1e-05            0.25        0.245674        0.273625       0.0399595        0.235203 
           0.05         1.86318     0.000366187        0.362255        0.072846        0.289409 
          0.032         0.55543     0.000170568        0.218596       0.0421091        0.176487 
        0.00013        0.367869       0.0278079        0.276328       0.0466017        0.229745 
         0.0013         2.81314        0.021265        0.588527        0.119859        0.468695 
         0.0013         0.83862      0.00633929        0.340586       0.0670382        0.273549 
         0.0002         4.13946        0.203391        0.951231        0.196018        0.760174 
         0.0008            0.25      0.00307092        0.174353       0.0274657        0.146888 
         0.0005        0.367869      0.00723005         0.23713       0.0408396        0.196292 
         0.0002         1.23401       0.0606327        0.539652        0.107964        0.431899 
         0.0013            0.25       0.0018898        0.165908       0.0263714        0.139536 
           0.05         0.55543     0.000109164        0.218596       0.0421091        0.176487 
         0.0002        0.367869       0.0180751        0.263151       0.0446788         0.21848 
           0.08            6.25      0.00076773         0.51402       0.0951244        0.418895 
          0.002         0.83862      0.00412054        0.321926       0.0635792        0.258348 
          0.002            0.25      0.00122837        0.159028       0.0254838        0.133545 
        0.00032         13.8857         0.42642         1.33539        0.267697         1.10432 
          0.002         9.43662       0.0463666        0.815555        0.155672        0.660058 
           0.08         1.86318     0.000228867        0.362255        0.072846        0.289409 
           0.08         0.55543     6.82272e-05        0.218596       0.0421091        0.176487 
         0.0032            0.25      0.00076773        0.152288       0.0246249        0.127663 
        0.00032        0.367869        0.011297        0.249457       0.0426649        0.206795 
        0.00032         1.23401       0.0378954        0.504798        0.101239        0.403634 
          0.002         2.81314       0.0138223        0.546188        0.110791        0.435408 
          0.005            0.25     0.000491347        0.146643       0.0239221        0.122721 
        0.00032         4.13946         0.12712        0.878336        0.179863        0.700122 
         0.0032         0.83862      0.00257534        0.303287       0.0601017        0.243186 
           0.13         20.9655      0.00158482        0.664946        0.107899        0.557047 
           0.01        0.377465     0.000370933        0.178112       0.0323743        0.145737 
           0.13         0.55543      4.1986e-05        0.218596       0.0421091        0.176487 
         0.0032          31.655       0.0972099        0.986975        0.167017        0.820827 
          0.008            0.25     0.000307092        0.141608       0.0233278        0.118281 
          0.001        0.377465      0.00370933        0.222965       0.0390293        0.183936 
          0.013            0.25      0.00018898        0.139471       0.0230856        0.116386 
           0.01          1.2662      0.00124429        0.314643       0.0635776        0.251065 
           0.18         0.55543     3.03232e-05        0.218596       0.0421091        0.176487 
          0.005         0.83862      0.00164822        0.287197       0.0570811        0.230116 
           0.13         1.86318     0.000140841        0.362255        0.072846        0.289409 
           0.01         47.7945       0.0469674        0.766749        0.113025        0.653854 
           0.02            0.25     0.000122837        0.139471       0.0230856        0.116386 
         0.0001        0.377465       0.0370933        0.289653       0.0489297        0.240759 
           0.18         70.3284      0.00383952        0.814417        0.114732        0.699686 
