# === Perturbative settings ===
# Settings: lopc (scheme), lobk, balpdrc
# Use masses: true, scheme:3
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    1 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 2 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   1 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.06, alphas_scaling=4.6, gamma=1, e_c=38.9, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=28.3111, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balpdrc_x0bk0.010000_qs0sqr0.060000_asC^24.600000_gamma1.000000_ec38.900000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.001
# printing dipole at xbj=0.0001
# printing dipole at xbj=1e-05
# printing dipole at xbj=0.0008
# printing dipole at xbj=0.0013
# printing dipole at xbj=0.002
# printing dipole at xbj=0.0032
# printing dipole at xbj=0.005
# printing dipole at xbj=0.008
# Asking for too large Bjorken-x, skipping at xbj=0.013
# Asking for too large Bjorken-x, skipping at xbj=0.02
# Asking for too large Bjorken-x, skipping at xbj=0.032
# Asking for too large Bjorken-x, skipping at xbj=0.05
# Asking for too large Bjorken-x, skipping at xbj=0.08
# Asking for too large Bjorken-x, skipping at xbj=0.13
# Asking for too large Bjorken-x, skipping at xbj=0.18
# Asking for too large Bjorken-x, skipping at xbj=0.25
# Asking for too large Bjorken-x, skipping at xbj=0.4
# Asking for too large Bjorken-x, skipping at xbj=0.65
# printing dipole at xbj=0.00013
# printing dipole at xbj=0.0005
# printing dipole at xbj=0.0002
# printing dipole at xbj=0.00032
# Using parent dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.104319       0.0165779       0.0877412 
            0.4        0.367869     9.03757e-06        0.132665       0.0229769        0.109688 
           0.02         0.55543     0.000272909        0.167405       0.0307547        0.136651 
         0.0005         1.23401       0.0242531        0.388401       0.0705057        0.317916 
         0.0008         0.83862       0.0103013        0.290653       0.0521888        0.238467 
          0.001            0.25      0.00245674        0.130172       0.0192852        0.110886 
           0.65        0.367869     5.56158e-06        0.132665       0.0229769        0.109688 
           0.05         1.86318     0.000366187        0.293113       0.0552441        0.237868 
         0.0013         2.81314        0.021265         0.50323       0.0924703        0.410781 
         0.0001            0.25       0.0245674        0.169155       0.0234683        0.145694 
          0.032         0.55543     0.000170568        0.167405       0.0307547        0.136651 
         0.0002         4.13946        0.203391        0.857455        0.155947        0.705455 
        0.00013        0.367869       0.0278079        0.217255       0.0334025        0.183866 
         0.0013         0.83862      0.00633929        0.271137       0.0491768        0.221961 
          1e-05            0.25        0.245674        0.217028       0.0282679        0.189848 
         0.0002         1.23401       0.0606327        0.446872       0.0798811        0.367146 
           0.05         0.55543     0.000109164        0.167405       0.0307547        0.136651 
           0.08            6.25      0.00076773        0.450137       0.0781439        0.371993 
          0.002         9.43662       0.0463666        0.760583        0.134734           0.626 
        0.00032         13.8857         0.42642         1.32137        0.245721         1.10927 
         0.0005        0.367869      0.00723005        0.184351       0.0293663        0.154986 
         0.0008            0.25      0.00307092        0.133451       0.0196443        0.113807 
           0.08         1.86318     0.000228867        0.293113       0.0552441        0.237868 
          0.002         0.83862      0.00412054        0.255102       0.0466845        0.208418 
          0.002         2.81314       0.0138223        0.464281       0.0854872        0.378802 
         0.0013            0.25       0.0018898        0.126457       0.0188779        0.107579 
        0.00032         1.23401       0.0378954        0.416028       0.0749526        0.341131 
         0.0002        0.367869       0.0180751        0.206163       0.0320611        0.174107 
           0.08         0.55543     6.82272e-05        0.167405       0.0307547        0.136651 
        0.00032         4.13946         0.12712        0.787158        0.143014        0.645455 
           0.13         20.9655      0.00158482        0.633083        0.102365        0.530718 
          0.002            0.25      0.00122837        0.120742       0.0182545        0.102487 
         0.0032          31.655       0.0972099        0.993041        0.168746        0.825174 
         0.0032         0.83862      0.00257534        0.239091       0.0441837        0.194907 
        0.00032        0.367869        0.011297        0.194679       0.0306484        0.164032 
           0.13         0.55543      4.1986e-05        0.167405       0.0307547        0.136651 
           0.13         1.86318     0.000140841        0.293113       0.0552441        0.237868 
           0.01          1.2662      0.00124429        0.249466       0.0475256        0.201941 
         0.0032            0.25      0.00076773        0.115126        0.017651       0.0974749 
           0.01        0.377465     0.000370933        0.134701       0.0234383        0.111262 
           0.01         47.7945       0.0469674        0.764197        0.118088        0.646246 
           0.13            6.25     0.000472449        0.450137       0.0781439        0.371993 
          0.005            0.25     0.000491347          0.1104       0.0171595        0.093241 
          0.005         0.83862      0.00164822        0.225263       0.0420225        0.183241 
           0.18         0.55543     3.03232e-05        0.167405       0.0307547        0.136651 
         0.0032         9.43662       0.0289791        0.679628        0.119201        0.560479 
         0.0032         2.81314      0.00863892        0.425169       0.0783958        0.346777 
           0.18         70.3284      0.00383952        0.826182        0.124401        0.701782 
           0.01         4.24744      0.00417394        0.396735       0.0708846        0.325851 
          0.001        0.377465      0.00370933        0.172419       0.0281176        0.144302 
          0.001          1.2662       0.0124429        0.353583       0.0649858        0.288602 
           0.18         1.86318     0.000101719        0.293113       0.0552441        0.237868 
          0.008            0.25     0.000307092         0.10614       0.0167448       0.0893951 
          0.005         106.186        0.208697         1.14662        0.179154        0.972259 
           0.25         0.55543     2.18327e-05        0.167405       0.0307547        0.136651 
          0.008         0.83862      0.00103013        0.212239       0.0399884        0.172251 
         0.0001        0.377465       0.0370933        0.228437       0.0350667        0.193396 
           0.01          14.248       0.0140014        0.572775       0.0944668        0.478318 
          0.013            0.25      0.00018898        0.104319       0.0165779       0.0877412 
         0.0001          1.2662        0.124429        0.503205       0.0890694        0.414916 
            0.4         0.55543     1.36454e-05        0.167405       0.0307547        0.136651 
          1e-05        0.377465        0.370933        0.295152       0.0431452         0.25626 
           0.02            0.25     0.000122837        0.104319       0.0165779       0.0877412 
           0.25         1.86318     7.32374e-05        0.293113       0.0552441        0.237868 
          0.013         0.83862     0.000633929         0.20647       0.0390905         0.16738 
          0.005         2.81314      0.00552891        0.390963       0.0721138         0.31885 
           0.18         20.9655      0.00114459        0.633083        0.102365        0.530718 
          0.001         4.24744       0.0417394        0.638744        0.116072        0.522777 
           0.18            6.25     0.000341213        0.450137       0.0781439        0.371993 
         0.0008        0.377465      0.00463666        0.177133       0.0287155        0.148418 
          0.032            0.25      7.6773e-05        0.104319       0.0165779       0.0877412 
           0.65         0.55543      8.3972e-06        0.167405       0.0307547        0.136651 
         0.0008          1.2662       0.0155536         0.36615        0.067048         0.29911 
          0.005         9.43662       0.0185466        0.608995        0.105534         0.50348 
          0.005          31.655       0.0622143        0.869614        0.144366        0.725545 
           0.02         0.83862     0.000412054         0.20647       0.0390905         0.16738 
         0.0013        0.377465      0.00285333        0.167075       0.0274386        0.139637 
           0.05            0.25     4.91347e-05        0.104319       0.0165779       0.0877412 
        0.00013         0.55543        0.041986        0.288232       0.0476058         0.24067 
            0.4         1.86318     4.57734e-05        0.293113       0.0552441        0.237868 
           0.08            0.25     3.07092e-05        0.104319       0.0165779       0.0877412 
          0.002        0.377465      0.00185466        0.158845       0.0263932        0.132452 
         0.0001         4.24744        0.417394        0.968573        0.178954        0.812895 
         0.0013          1.2662      0.00957144        0.339316        0.062634        0.276684 
          0.008         2.81314      0.00345557        0.358001       0.0659702        0.292031 
