# === Perturbative settings ===
# Settings: lopc (scheme), lobk, balpdrc
# Use masses: true, scheme:3
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    1 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 2 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   1 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.077, alphas_scaling=4.47, gamma=1.01, e_c=15.6, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=27.7238, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balpdrc_x0bk0.010000_qs0sqr0.077000_asC^24.470000_gamma1.010000_ec15.600000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.001
# printing dipole at xbj=0.0001
# printing dipole at xbj=1e-05
# printing dipole at xbj=0.0008
# printing dipole at xbj=0.0013
# printing dipole at xbj=0.002
# printing dipole at xbj=0.0032
# printing dipole at xbj=0.005
# printing dipole at xbj=0.008
# Asking for too large Bjorken-x, skipping at xbj=0.013
# Asking for too large Bjorken-x, skipping at xbj=0.02
# Asking for too large Bjorken-x, skipping at xbj=0.032
# Asking for too large Bjorken-x, skipping at xbj=0.05
# Asking for too large Bjorken-x, skipping at xbj=0.08
# Asking for too large Bjorken-x, skipping at xbj=0.13
# Asking for too large Bjorken-x, skipping at xbj=0.18
# Asking for too large Bjorken-x, skipping at xbj=0.25
# Asking for too large Bjorken-x, skipping at xbj=0.4
# Asking for too large Bjorken-x, skipping at xbj=0.65
# printing dipole at xbj=0.00013
# printing dipole at xbj=0.0005
# printing dipole at xbj=0.0002
# printing dipole at xbj=0.00032
# Using parent dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.103999       0.0165186       0.0874809 
            0.4        0.367869     9.03757e-06        0.132358        0.022921        0.109437 
           0.02         0.55543     0.000272909        0.167148       0.0307159        0.136432 
         0.0008         0.83862       0.0103013        0.289154       0.0518829        0.237273 
         0.0005         1.23401       0.0242531        0.386485       0.0701121        0.316394 
          0.001            0.25      0.00245674         0.12926       0.0191232        0.110137 
           0.65        0.367869     5.56158e-06        0.132358        0.022921        0.109437 
           0.05         1.86318     0.000366187        0.293206       0.0553083        0.237897 
         0.0013         2.81314        0.021265        0.501955       0.0922368        0.409739 
          0.032         0.55543     0.000170568        0.167148       0.0307159        0.136432 
         0.0001            0.25       0.0245674        0.167648       0.0232107        0.144444 
         0.0002         4.13946        0.203391        0.854484        0.155367        0.703049 
         0.0013         0.83862      0.00633929         0.26989       0.0489254        0.220966 
        0.00013        0.367869       0.0278079        0.215485       0.0330709        0.182427 
         0.0002         1.23401       0.0606327         0.44433       0.0793533        0.365131 
          1e-05            0.25        0.245674         0.21484       0.0279081        0.188006 
           0.05         0.55543     0.000109164        0.167148       0.0307159        0.136432 
           0.08            6.25      0.00076773        0.450766       0.0782836        0.372482 
          0.002         9.43662       0.0463666        0.760406        0.134746        0.625812 
        0.00032         13.8857         0.42642         1.32003        0.245583         1.10805 
         0.0005        0.367869      0.00723005        0.183044       0.0291178        0.153927 
         0.0008            0.25      0.00307092        0.132484       0.0194732        0.113011 
          0.002         0.83862      0.00412054        0.254078       0.0464815        0.207597 
          0.002         2.81314       0.0138223        0.463339        0.085326        0.378022 
           0.08         0.55543     6.82272e-05        0.167148       0.0307159        0.136432 
         0.0002        0.367869       0.0180751        0.204546       0.0317565        0.172794 
        0.00032         1.23401       0.0378954        0.413815       0.0744956        0.339375 
         0.0013            0.25       0.0018898         0.12561       0.0187268        0.106883 
           0.08         1.86318     0.000228867        0.293206       0.0553083        0.237897 
        0.00032         4.13946         0.12712        0.784693        0.142542        0.643458 
           0.13         20.9655      0.00158482         0.63489        0.102666        0.532223 
         0.0032         0.83862      0.00257534         0.23831       0.0440346        0.194276 
          0.002            0.25      0.00122837        0.120002       0.0181217         0.10188 
           0.13         0.55543      4.1986e-05        0.167148       0.0307159        0.136432 
        0.00032        0.367869        0.011297        0.193222       0.0303728        0.162851 
         0.0032          31.655       0.0972099        0.995361        0.169257        0.826986 
         0.0032            0.25      0.00076773        0.114505       0.0175384       0.0969663 
           0.01          1.2662      0.00124429        0.249424       0.0475551        0.201869 
           0.01         47.7945       0.0469674        0.767798        0.118755        0.649181 
           0.01        0.377465     0.000370933        0.134396       0.0233829        0.111013 
           0.13         1.86318     0.000140841        0.293206       0.0553083        0.237897 
           0.18         0.55543     3.03232e-05        0.167148       0.0307159        0.136432 
         0.0032         2.81314      0.00863892         0.42457       0.0783105        0.346262 
           0.13            6.25     0.000472449        0.450766       0.0782836        0.372482 
          0.005         0.83862      0.00164822        0.224717       0.0419252        0.182792 
          0.005            0.25     0.000491347        0.109894        0.017067       0.0928266 
         0.0032         9.43662       0.0289791        0.679808        0.119269        0.560591 
           0.18         70.3284      0.00383952        0.831046        0.125344        0.705704 
          0.001        0.377465      0.00370933        0.171329       0.0279083        0.143421 
           0.01         4.24744      0.00417394        0.397162       0.0710053        0.326157 
