# === Perturbative settings ===
# Settings: lopc (scheme), lobk, balsdrc
# Use masses: true, scheme:3
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.104, alphas_scaling=14.5, gamma=1, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=48.4781, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.104000_asC^214.500000_gamma1.000000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=1e-05
# printing dipole at xbj=1e-07
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.125008       0.0193693        0.105638 
           0.01        0.377465     0.000370933        0.160217       0.0269016        0.133316 
           0.01        0.569918     0.000560056        0.201002       0.0353999        0.165602 
          0.001         0.83862      0.00824108        0.365537       0.0640474        0.301492 
          0.002            0.25      0.00122837        0.155568       0.0231837        0.132384 
           0.01         1.91178       0.0018787        0.356118        0.063578         0.29254 
          0.001         2.81314       0.0276446        0.689053        0.122629        0.566473 
          0.002        0.377465      0.00185466        0.203353       0.0330497        0.170303 
          0.001            0.25      0.00245674        0.171481       0.0251439        0.146337 
          0.002        0.569918      0.00280028         0.26078       0.0447883        0.215992 
          1e-05         0.83862        0.824108        0.668332        0.122153         0.62665 
           0.01          1.2662      0.00124429        0.296859       0.0535357        0.243323 
           0.01         4.24744      0.00417394        0.493675       0.0854125        0.408263 
          1e-05            0.25        0.245674        0.312012       0.0411513        0.272444 
          0.001         9.43662       0.0927331         1.19087        0.211743        0.980123 
          0.001        0.569918      0.00560056        0.291692       0.0495241        0.242169 
           0.01        0.256521     0.000252082        0.127046       0.0198054         0.10724 
           0.01        0.860496     0.000845605        0.247562       0.0445442        0.203018 
          0.002         1.91178      0.00939348        0.495947       0.0887125        0.407239 
          0.001        0.377465      0.00370933         0.22571       0.0361726        0.189538 
          0.002          1.2662      0.00622143        0.403467       0.0721982        0.331271 
           0.01          14.248       0.0140014         0.76703        0.130044        0.636999 
          1e-05        0.569918        0.560056        0.551102       0.0895798        0.485064 
           0.01         2.88652      0.00283657        0.423104       0.0743184        0.348786 
          0.002        0.256521      0.00126041         0.15828       0.0237414        0.134538 
          0.001          31.655        0.311072         1.87258        0.340593         1.55433 
           0.01         21.5124       0.0211401        0.877563        0.148663        0.728934 
          0.002        0.860496      0.00422803        0.328886       0.0582089        0.270678 
          0.001        0.256521      0.00252082         0.17455       0.0257627        0.148788 
          1e-05        0.377465        0.370933        0.421453       0.0620708        0.365501 
           0.01        0.584785     0.000574665        0.203739       0.0359558        0.167783 
          0.001          1.2662       0.0124429        0.458686       0.0816073        0.377085 
          0.001         1.91178        0.018787        0.568655        0.101471        0.467201 
           0.01         47.7945       0.0469674         1.11374        0.187102        0.926858 
          0.002         4.24744       0.0208697        0.719124        0.126999        0.592153 
           0.01         6.41303      0.00630205        0.577817       0.0987749        0.479044 
          1e-05        0.256521        0.252082        0.318151        0.042282        0.277592 
           0.01          72.163       0.0709142         1.24608        0.207251         1.03939 
          0.001        0.860496      0.00845605        0.370905       0.0650824        0.305825 
          0.002         2.88652       0.0141828        0.603393        0.107261        0.496143 
          0.002        0.584785      0.00287333        0.264711       0.0455793        0.219132 
           0.01        0.263213     0.000258658        0.129106       0.0202462        0.108859 
           0.01         9.68278      0.00951521        0.671255        0.114038        0.557222 
           0.01         108.956         0.10707         1.38488         0.22726         1.15907 
           0.01        0.387311     0.000380609        0.162601       0.0274078        0.135193 
          1e-05        0.860496        0.845605        0.674824         0.12458        0.637251 
          0.001        0.584785      0.00574665         0.29624       0.0504331        0.245807 
           0.01         1.96165       0.0019277        0.360069       0.0642266        0.295843 
           0.01         1.29923      0.00127674        0.300352       0.0541484        0.246204 
          0.002        0.263213      0.00129329        0.161034       0.0243073        0.136727 
          0.002        0.387311      0.00190304        0.206649       0.0337302        0.172919 
          0.002          14.248        0.070007         1.18327        0.209016        0.974807 
          1e-05        0.584785        0.574665        0.559487       0.0915379        0.493547 
          0.001        0.263213      0.00258658         0.17766       0.0263909        0.151269 
          0.001         4.24744       0.0417394        0.837833        0.148575        0.689393 
          0.002         6.41303       0.0315103        0.859706        0.151278        0.708506 
          0.001        0.387311      0.00380609        0.229476       0.0369404        0.192536 
           0.01        0.882943     0.000867663        0.250674       0.0451317        0.205542 
          0.002         21.5124        0.105701         1.37546        0.243837         1.13313 
          1e-05        0.387311        0.380609        0.429068       0.0635887        0.372137 
          0.002         1.96165      0.00963852        0.502208       0.0898059        0.412406 
           0.01        0.600039     0.000589655        0.206499       0.0365138        0.169986 
          0.002         1.29923      0.00638372        0.408839         0.07318        0.335661 
          1e-05        0.263213        0.258658        0.324385       0.0434353        0.282825 
          0.001         2.88652       0.0283657        0.697707        0.124138         0.57362 
