# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use masses: true, scheme:0
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.06, alphas_scaling=7.2, gamma=1, e_c=18.9, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=42.0125, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.060000_asC^27.200000_gamma1.000000_ec18.900000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.008
# printing dipole at xbj=0.005
# printing dipole at xbj=0.0032
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=0.0008
# printing dipole at xbj=0.0001
# printing dipole at xbj=1e-05
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.135603       0.0224475        0.113155 
         0.0001        0.367869       0.0361503        0.277652       0.0466978        0.230985 
          0.002         0.55543      0.00272909        0.252053       0.0476192        0.204434 
          0.008            0.25     0.000307092        0.137787       0.0227044        0.115083 
          1e-05        0.367869        0.361503        0.351677       0.0578106        0.299233 
          0.008         0.83862      0.00103013        0.264199       0.0526433        0.211556 
           0.01          1.2662      0.00124429        0.305224         0.06165        0.243574 
          0.001         1.86318       0.0183094        0.502836        0.102538        0.400316 
          0.005            0.25     0.000491347        0.142873       0.0233217        0.119552 
          0.001         0.55543      0.00545818        0.273837       0.0513042        0.222534 
           0.01        0.377465     0.000370933        0.173063       0.0314544        0.141608 
         0.0032            0.25      0.00076773        0.148487       0.0240291        0.124458 
          0.005         2.81314      0.00552891        0.451979       0.0904209        0.361559 
          0.008        0.377465     0.000463666        0.176328       0.0319269        0.144401 
         0.0008         0.55543      0.00682272        0.281373       0.0525747          0.2288 
          0.005         0.83862      0.00164822        0.279167       0.0554745        0.223693 
           0.01         4.24744      0.00417394        0.450714       0.0862344        0.364481 
          0.002            0.25      0.00122837        0.155138        0.024886        0.130252 
         0.0008            6.25        0.076773        0.837977        0.166971        0.671536 
          0.008          1.2662      0.00155536         0.31444       0.0635533        0.250887 
          0.005        0.377465     0.000741865        0.183824       0.0330286        0.150796 
          0.001            0.25      0.00245674        0.166285       0.0263354         0.13995 
         0.0001         0.55543       0.0545818        0.362961        0.066108        0.296957 
         0.0008         1.86318       0.0228867        0.520883        0.106247        0.414665 
         0.0032         9.43662       0.0289791        0.710956        0.133059        0.577954 
         0.0008            0.25      0.00307092         0.17016       0.0268401         0.14332 
         0.0032         0.83862      0.00257534        0.294967       0.0584449        0.236522 
         0.0032        0.377465      0.00115916        0.191963       0.0342453        0.157718 
          1e-05         0.55543        0.545818         0.45441       0.0838099        0.391299 
           0.01          14.248       0.0140014         0.59586         0.10057          0.4953 
         0.0001            0.25       0.0245674        0.212176       0.0322422        0.179944 
         0.0032         2.81314      0.00863892        0.488353       0.0983668         0.38999 
          0.005          1.2662      0.00248857        0.335017       0.0677657        0.267251 
          0.002        0.377465      0.00185466        0.201509       0.0356842        0.165824 
          1e-05            0.25        0.245674        0.267391       0.0391397        0.229756 
           0.01         21.5124       0.0211401        0.644988        0.103707        0.541304 
          0.002          31.655        0.155536         1.07956         0.18684        0.895353 
         0.0001         1.86318        0.183094        0.715149        0.146058        0.572028 
           0.01        0.569918     0.000560056        0.215018       0.0415337        0.173484 
          0.002         0.83862      0.00412054        0.313196       0.0618507        0.251346 
           0.01        0.256521     0.000252082        0.137795       0.0229681        0.114827 
          0.001        0.377465      0.00370933        0.217389       0.0380855        0.179304 
         0.0001            6.25        0.614184         1.16118        0.253894        0.990655 
          0.008         47.7945       0.0587093        0.794517        0.119149        0.675586 
          0.008        0.256521     0.000315103        0.140037       0.0232354        0.116802 
          0.008         4.24744      0.00521742        0.470892       0.0908155        0.380078 
         0.0008        0.377465      0.00463666        0.222895       0.0389173        0.183978 
          0.008        0.569918      0.00070007        0.219793       0.0423444        0.177449 
         0.0032          1.2662       0.0038884        0.356517       0.0721171        0.284401 
           0.01          72.163       0.0709142        0.790358        0.110337        0.680318 
          0.001         0.83862      0.00824108        0.343158       0.0674033        0.275757 
          0.002         106.186        0.521742         1.35806        0.218807         1.18772 
          0.005        0.256521     0.000504164         0.14525       0.0238765        0.121374 
         0.0001        0.377465       0.0370933        0.282529       0.0477893        0.234773 
         0.0032        0.256521     0.000787757        0.150998       0.0246095        0.126389 
          0.005        0.569918      0.00112011        0.230628       0.0441916        0.186436 
           0.01         1.91178       0.0018787        0.354318       0.0711595        0.283159 
          0.002         2.81314       0.0138223        0.529818        0.107318         0.42251 
          0.002         9.43662       0.0463666        0.789059        0.150116        0.639112 
          1e-05        0.377465        0.370933        0.357819        0.059245        0.304414 
         0.0008         0.83862       0.0103013        0.353504       0.0693102        0.284197 
          0.002        0.256521      0.00126041        0.157802       0.0254942        0.132308 
          0.002          1.2662      0.00622143        0.381172       0.0770563        0.304118 
           0.01        0.387311     0.000380609        0.175563       0.0320593        0.143504 
         0.0032        0.569918      0.00175017        0.242206       0.0461701        0.196036 
          0.001        0.256521      0.00252082        0.169204       0.0269922        0.142212 
         0.0001         0.83862       0.0824108        0.465429       0.0896304        0.376129 
         0.0008        0.256521      0.00315103        0.173169       0.0275158        0.145653 
          0.008          14.248       0.0175017        0.631381        0.108348        0.523051 
          0.008        0.387311     0.000475761        0.178908        0.032549         0.14636 
           0.01         6.41303      0.00630205        0.500345       0.0921469        0.408199 
          0.002        0.569918      0.00280028        0.255665       0.0484691        0.207196 
         0.0001        0.256521       0.0252082        0.216133       0.0330954        0.183048 
          0.005         4.24744      0.00834787        0.515473        0.100833        0.414644 
          0.008         1.91178      0.00234837        0.366702       0.0738564        0.292846 
          0.001          1.2662       0.0124429        0.421521       0.0850482         0.33648 
          0.001         2.81314       0.0276446        0.597443        0.121746        0.475745 
          1e-05         0.83862        0.824108        0.544597        0.116625        0.504801 
          1e-05        0.256521        0.252082        0.272525       0.0402251        0.233939 
          0.001          31.655        0.311072         1.27995        0.230765         1.06433 
          0.005        0.387311     0.000761217        0.186584       0.0336889        0.152895 
          0.008         21.5124       0.0264252        0.686503        0.112571        0.573972 
          0.001        0.569918      0.00560056        0.277896        0.052255        0.225642 
           0.01        0.263213     0.000258658        0.140009       0.0234948        0.116514 
         0.0032        0.387311       0.0011894         0.19491       0.0349455        0.159965 
          0.001         9.43662       0.0927331        0.917039        0.177972        0.739907 
         0.0008          1.2662       0.0155536         0.43544       0.0877881        0.347663 
          0.008        0.263213     0.000323322        0.142308       0.0237729        0.118535 
         0.0008        0.569918       0.0070007        0.285586       0.0535585        0.232028 
          0.005         1.91178      0.00375739        0.394194       0.0797807        0.314414 
          0.002        0.387311      0.00190304        0.204668       0.0364291        0.168239 
           0.01        0.860496     0.000845605        0.260473       0.0520348        0.208438 
          0.005        0.263213     0.000517316        0.147652       0.0244386        0.123213 
          0.005         47.7945       0.0939348        0.914648        0.143265        0.772078 
         0.0008         2.81314       0.0345557        0.620769        0.126688        0.494159 
         0.0001        0.569918       0.0560056         0.36885       0.0674585        0.301503 
         0.0032        0.263213     0.000808306        0.153537       0.0251981        0.128339 
          0.001        0.387311      0.00380609        0.220892       0.0389037        0.181989 
         0.0032         4.24744       0.0130436        0.561499         0.11103        0.450478 
         0.0001          1.2662        0.124429         0.58593        0.117058        0.469898 
          0.008         6.41303      0.00787757        0.525326       0.0978026        0.427526 
          1e-05        0.569918        0.560056        0.460878        0.085656        0.397732 
          0.008        0.860496      0.00105701        0.267262       0.0533336        0.213928 
          0.002        0.263213      0.00129329        0.160499       0.0261132        0.134386 
         0.0008        0.387311      0.00475761        0.226517       0.0397603        0.186757 
          0.008          72.163       0.0886427        0.851081        0.122078        0.729527 
          0.005          14.248       0.0280028        0.710045        0.125492        0.584604 
         0.0032         1.91178      0.00587093        0.422716       0.0858355        0.336882 
          0.001        0.263213      0.00258658         0.17216       0.0276613        0.144499 
         0.0001        0.387311       0.0380609         0.28744       0.0488967        0.238581 
           0.01        0.584785     0.000574665        0.217767       0.0421855        0.175582 
         0.0001         2.81314        0.276446        0.868302        0.180115        0.697222 
           0.01         108.956         0.10707        0.840533        0.112188        0.729061 
           0.01         1.29923      0.00127674        0.308259       0.0622717        0.245988 
          0.005        0.860496      0.00169121        0.282545       0.0562409        0.226305 
         0.0008        0.263213      0.00323322        0.176213       0.0281998        0.148014 
          1e-05        0.387311        0.380609        0.364017       0.0607038        0.309668 
         0.0008         9.43662        0.115916        0.961152        0.187606         0.77496 
         0.0001        0.263213       0.0258658        0.220148       0.0339644        0.186196 
         0.0008          31.655         0.38884         1.34283        0.246233          1.1237 
          0.008        0.584785     0.000718331        0.222653       0.0430216        0.179632 
           0.01        0.397414     0.000390537         0.17808       0.0326683        0.145412 
          0.002         4.24744       0.0208697        0.613947         0.12252        0.491455 
          0.005         21.5124       0.0422803        0.778557        0.132124        0.646557 
          1e-05        0.263213        0.258658        0.277729       0.0413326        0.238181 
          0.008        0.397414     0.000488171        0.181508       0.0331759        0.148332 
          0.008         1.29923      0.00159593        0.317655       0.0642194        0.253435 
          0.002         1.91178      0.00939348        0.455306       0.0926828        0.362628 
         0.0032        0.860496      0.00264252        0.298661       0.0592874        0.239374 
          0.005        0.584785      0.00114933        0.233731       0.0449247        0.188806 
           0.01        0.270079     0.000265405        0.142236       0.0240275        0.118209 
          0.005         6.41303       0.0126041        0.580512          0.1102        0.470321 
          0.005        0.397414     0.000781074        0.189368       0.0343554        0.155012 
           0.01         2.88652      0.00283657        0.404037       0.0795436        0.324493 
          0.008        0.270079     0.000331756        0.144601       0.0243168        0.120284 
          0.002        0.860496      0.00422803         0.31725       0.0627785        0.254473 
         0.0032        0.397414      0.00122043        0.197882       0.0356518        0.162231 
         0.0032        0.584785      0.00179583        0.245558       0.0469606        0.198597 
          0.005        0.270079      0.00053081        0.150078       0.0250082         0.12507 
         0.0032          14.248       0.0437544        0.791604        0.143145        0.648603 
          0.005         1.29923      0.00255349        0.338623       0.0685302        0.270093 
          0.001         1.91178        0.018787        0.508518        0.103724        0.404813 
          0.001         4.24744       0.0417394        0.699593        0.141091         0.55863 
         0.0032         47.7945        0.146773         1.03988        0.168597         0.87338 
         0.0001         9.43662        0.927331         1.21231        0.295199         1.16963 
         0.0032        0.270079     0.000829391        0.156103       0.0257945        0.130309 
          0.002        0.397414      0.00195268        0.207858       0.0371819        0.170676 
          0.002        0.584785      0.00287333        0.259302       0.0493243        0.209978 
          0.001        0.860496      0.00845605        0.347797       0.0684687        0.279331 
          0.002        0.270079      0.00132703        0.163228       0.0267409        0.136487 
          0.001        0.397414      0.00390537        0.224435       0.0397314        0.184704 
          0.001        0.270079      0.00265405        0.175153       0.0283404        0.146813 
         0.0032         1.29923      0.00398983        0.360526       0.0729776        0.287549 
          0.008         2.88652      0.00354571        0.420178       0.0831671        0.337012 
          0.005          72.163        0.141828        0.986161        0.148354        0.839526 
          0.001        0.584785      0.00574665        0.281995       0.0532128        0.228783 
         0.0008         1.91178       0.0234837         0.52686        0.107502        0.419389 
         0.0008        0.860496       0.0105701         0.35834       0.0704189        0.287925 
         0.0008        0.397414      0.00488171        0.230181       0.0406131        0.189568 
         0.0008        0.270079      0.00331756        0.179297       0.0288967        0.150401 
         0.0032         6.41303       0.0196939        0.637482        0.122834        0.514672 
         0.0001        0.270079       0.0265405         0.22421       0.0348491        0.189374 
         0.0001        0.397414       0.0390537        0.292414       0.0500202        0.242434 
         0.0008         4.24744       0.0521742         0.72916        0.147466        0.581905 
