# === Perturbative settings ===
# Settings: lopc (scheme), lobk, balsdrc
# Use masses: true, scheme:3
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.06, alphas_scaling=7.2, gamma=1, e_c=18.9, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=42.0125, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.060000_asC^27.200000_gamma1.000000_ec18.900000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=1e-05
# printing dipole at xbj=1e-07
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.141776       0.0224995        0.119277 
           0.01        0.377465     0.000370933         0.18227       0.0315691        0.150701 
           0.01        0.569918     0.000560056         0.22867       0.0417835        0.186886 
          0.001         0.83862      0.00824108         0.38182       0.0683649        0.313458 
          0.002            0.25      0.00122837        0.165175       0.0249677        0.140207 
           0.01          1.2662      0.00124429        0.333728       0.0627023        0.271026 
          0.002        0.377465      0.00185466        0.216497       0.0358652        0.180632 
           0.01         1.91178       0.0018787        0.395124       0.0732549        0.321869 
          0.002        0.569918      0.00280028        0.277932       0.0488641        0.229068 
          0.001         2.81314       0.0276446        0.710559        0.129198        0.581413 
          0.001            0.25      0.00245674        0.178364       0.0264326        0.151932 
          1e-05         0.83862        0.824108        0.651122        0.119154        0.610464 
          0.001        0.377465      0.00370933        0.235437       0.0383009        0.197137 
           0.01         4.24744      0.00417394        0.527551       0.0930351        0.434516 
          1e-05            0.25        0.245674        0.300884       0.0393922        0.263007 
           0.01         6.41303      0.00630205        0.602613        0.103429        0.499186 
          0.002          1.2662      0.00622143        0.427984       0.0787364        0.349249 
          0.001        0.569918      0.00560056        0.304729       0.0527255        0.252004 
          1e-05        0.377465        0.370933        0.407922       0.0598059        0.354012 
          0.001         9.43662       0.0927331         1.19183        0.213308        0.979528 
           0.01        0.860496     0.000845605        0.280544       0.0525669        0.227977 
           0.01        0.256521     0.000252082        0.144126       0.0230227        0.121103 
          0.002         1.91178      0.00939348        0.522701       0.0960548        0.426651 
          1e-05        0.569918        0.560056        0.535343       0.0868864        0.471291 
           0.01          14.248       0.0140014        0.758459        0.124715        0.633757 
           0.01        0.387311     0.000380609        0.185002       0.0321798        0.152822 
          0.002        0.256521      0.00126041        0.168095       0.0255802        0.142515 
          0.001          1.2662       0.0124429        0.478048       0.0870557        0.390999 
           0.01         2.88652      0.00283657        0.461284       0.0835062        0.377778 
          0.001          31.655        0.311072         1.79907        0.322327         1.49789 
          0.002        0.860496      0.00422803        0.350085       0.0636233        0.286463 
           0.01         21.5124       0.0211401        0.842568        0.135827        0.706772 
           0.01        0.584785     0.000574665        0.231756       0.0424476        0.189308 
          0.001        0.256521      0.00252082        0.181592       0.0270945        0.154497 
          0.002        0.387311      0.00190304        0.220034       0.0366192        0.183415 
          0.002         4.24744       0.0208697        0.743039        0.133729        0.609339 
          0.001         1.91178        0.018787        0.590054        0.107763         0.48231 
          1e-05        0.256521        0.252082        0.306876       0.0404906        0.268035 
