# === Perturbative settings ===
# Settings: lopc (scheme), lobk, balsdrc
# Use masses: true, scheme:3
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.06, alphas_scaling=7.2, gamma=1, e_c=18.9, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=42.0125, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.060000_asC^27.200000_gamma1.000000_ec18.900000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.008
# printing dipole at xbj=0.005
# printing dipole at xbj=0.0032
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=0.0008
# printing dipole at xbj=0.0001
# printing dipole at xbj=1e-05
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.141776       0.0224995        0.119277 
         0.0001        0.367869       0.0361503        0.308109       0.0470406          0.2611 
          0.002         0.55543      0.00272909         0.27378       0.0479956        0.225785 
          0.008         0.83862      0.00103013        0.285341       0.0531886        0.232153 
          1e-05        0.367869        0.361503        0.400542       0.0583444        0.347614 
          0.008            0.25     0.000307092         0.14444       0.0227601         0.12168 
           0.01          1.2662      0.00124429        0.333728       0.0627023        0.271026 
          0.001         1.86318       0.0183094        0.582566        0.106409        0.476175 
          0.001         0.55543      0.00545818        0.300018       0.0517525        0.248266 
          0.005         2.81314      0.00552891        0.522794       0.0951862        0.427609 
          0.005            0.25     0.000491347        0.150581       0.0233856        0.127195 
           0.01        0.377465     0.000370933         0.18227       0.0315691        0.150701 
          0.005         0.83862      0.00164822        0.303711       0.0561018        0.247609 
         0.0008            6.25        0.076773         1.05985        0.190617        0.869836 
           0.01         4.24744      0.00417394        0.527551       0.0930351        0.434516 
         0.0008         0.55543      0.00682272        0.309105       0.0530479        0.256058 
         0.0032            0.25      0.00076773        0.157282       0.0241014         0.13318 
          0.008          1.2662      0.00155536        0.345211       0.0646841        0.280526 
         0.0032         9.43662       0.0289791        0.904425        0.158094          0.7464 
         0.0008         1.86318       0.0228867        0.605437         0.11034        0.495126 
          0.008        0.377465     0.000463666        0.186252         0.03205        0.154202 
          0.002            0.25      0.00122837        0.165175       0.0249677        0.140207 
         0.0032         0.83862      0.00257534        0.323016        0.059156         0.26386 
         0.0001         0.55543       0.0545818        0.408328       0.0668593        0.341574 
           0.01          14.248       0.0140014        0.758459        0.124715        0.633757 
         0.0032         2.81314      0.00863892        0.569634        0.103803        0.465834 
          0.005        0.377465     0.000741865        0.195328       0.0331699        0.162158 
          0.001            0.25      0.00245674        0.178364       0.0264326        0.151932 
          0.005          1.2662      0.00248857         0.37078       0.0690689        0.301712 
           0.01         21.5124       0.0211401        0.842568        0.135827        0.706772 
          1e-05         0.55543        0.545818        0.527078       0.0849819        0.463084 
          0.002          31.655        0.155536           1.499        0.259923         1.24275 
         0.0001         1.86318        0.183094        0.854614         0.15264        0.705043 
          0.002         0.83862      0.00412054        0.345252       0.0626569        0.282596 
         0.0001            6.25        0.614184         1.52285        0.293099         1.32599 
         0.0032        0.377465      0.00115916        0.205094       0.0344052        0.170689 
         0.0008            0.25      0.00307092        0.182952       0.0269427         0.15601 
          0.008         4.24744      0.00521742        0.554163       0.0981638        0.456001 
           0.01        0.569918     0.000560056         0.22867       0.0417835        0.186886 
         0.0001            0.25       0.0245674        0.233055       0.0324045        0.200661 
          0.008         47.7945       0.0587093         1.08997        0.171437        0.918843 
         0.0032          1.2662       0.0038884        0.397434       0.0735967        0.323838 
          0.002        0.377465      0.00185466        0.216497       0.0358652        0.180632 
          0.001         0.83862      0.00824108         0.38182       0.0683649        0.313458 
          0.002         2.81314       0.0138223        0.623095        0.113518        0.509588 
          1e-05            0.25        0.245674        0.300884       0.0393922        0.263007 
          0.002         9.43662       0.0463666         1.01308        0.179031        0.834253 
           0.01         1.91178       0.0018787        0.395124       0.0732549        0.321869 
          0.008        0.569918      0.00070007        0.234512       0.0426124          0.1919 
           0.01          72.163       0.0709142         1.09538        0.164375        0.931445 
          0.001        0.377465      0.00370933        0.235437       0.0383009        0.197137 
          0.002         106.186        0.521742         1.98233        0.337422         1.71966 
           0.01        0.256521     0.000252082        0.144126       0.0230227        0.121103 
         0.0008         0.83862       0.0103013        0.394468       0.0703256        0.324146 
          0.002          1.2662      0.00622143        0.427984       0.0787364        0.349249 
          0.005         4.24744      0.00834787        0.612962        0.109387        0.503578 
         0.0008        0.377465      0.00463666        0.242011       0.0391446        0.202866 
          0.005        0.569918      0.00112011          0.2477       0.0444994        0.203201 
          0.008        0.256521     0.000315103        0.146858       0.0232939        0.123565 
           0.01         6.41303      0.00630205        0.602613        0.103429        0.499186 
          0.008          14.248       0.0175017        0.808885        0.134711        0.674195 
         0.0001         0.83862       0.0824108        0.532582       0.0912473        0.441671 
         0.0001        0.377465       0.0370933        0.313759       0.0481495        0.265644 
          0.001         2.81314       0.0276446        0.710559        0.129198        0.581413 
          0.008         1.91178      0.00234837        0.410795        0.076111        0.334684 
          0.005        0.256521     0.000504164        0.153154       0.0239436        0.129211 
          0.001          1.2662       0.0124429        0.478048       0.0870557        0.390999 
         0.0032        0.569918      0.00175017        0.261703       0.0465188        0.215184 
          1e-05        0.377465        0.370933        0.407922       0.0598059        0.354012 
          0.008         21.5124       0.0264252        0.902851        0.147803          0.7551 
          0.001          31.655        0.311072         1.79907        0.322327         1.49789 
         0.0032        0.256521     0.000787757        0.160017       0.0246855        0.135332 
          1e-05         0.83862        0.824108        0.651122        0.119154        0.610464 
          0.001         9.43662       0.0927331         1.19183        0.213308        0.979528 
          0.002        0.256521      0.00126041        0.168095       0.0255802        0.142515 
           0.01        0.387311     0.000380609        0.185002       0.0321798        0.152822 
         0.0032         4.24744       0.0130436        0.673709        0.120825        0.552894 
          0.002        0.569918      0.00280028        0.277932       0.0488641        0.229068 
          0.005         1.91178      0.00375739        0.445537       0.0823857        0.363152 
         0.0008          1.2662       0.0155536        0.495354       0.0899089        0.405456 
         0.0008         2.81314       0.0345557         0.74081        0.134574        0.606319 
           0.01        0.860496     0.000845605        0.280544       0.0525669        0.227977 
          0.001        0.256521      0.00252082        0.181592       0.0270945        0.154497 
          0.008         6.41303      0.00787757         0.63639        0.110031        0.526362 
          0.008        0.387311     0.000475761        0.189082       0.0326782        0.156404 
          0.001        0.569918      0.00560056        0.304729       0.0527255        0.252004 
         0.0008        0.256521      0.00315103        0.186288       0.0276236        0.158664 
         0.0001          1.2662        0.124429        0.684438         0.12045        0.565044 
          0.005          14.248       0.0280028        0.920653        0.156773        0.763942 
          0.005         47.7945       0.0939348         1.27093        0.206845         1.06509 
          0.008        0.860496      0.00105701        0.288914       0.0539049        0.235009 
          0.005        0.387311     0.000761217        0.198378       0.0338373         0.16454 
         0.0001        0.256521       0.0252082        0.237546       0.0332661        0.204291 
         0.0032         1.91178      0.00587093        0.481545       0.0887994        0.392747 
         0.0008        0.569918       0.0070007        0.314008       0.0540551        0.259955 
         0.0001         2.81314        0.276446         1.06699        0.192897        0.883772 
          0.002         4.24744       0.0208697        0.743039        0.133729        0.609339 
         0.0008         9.43662        0.115916         1.25369        0.225186         1.03021 
         0.0032        0.387311       0.0011894        0.208371       0.0351134        0.173258 
          1e-05        0.256521        0.252082        0.306876       0.0404906        0.268035 
         0.0001        0.569918       0.0560056        0.415353       0.0682471        0.347219 
          0.005        0.860496      0.00169121        0.307683       0.0568981        0.250785 
           0.01         1.29923      0.00127674        0.337425       0.0633717        0.274054 
           0.01        0.263213     0.000258658          0.1465       0.0235522        0.122948 
          0.002        0.387311      0.00190304        0.220034       0.0366192        0.183415 
          0.005         21.5124       0.0422803         1.03666        0.174259         0.86256 
          0.005         6.41303       0.0126041         0.71105        0.124512        0.586548 
          0.008          72.163       0.0886427         1.18804        0.182146         1.00668 
          0.002         1.91178      0.00939348        0.522701       0.0960548        0.426651 
         0.0008          31.655         0.38884         1.89423        0.344336          1.5878 
          1e-05        0.569918        0.560056        0.535343       0.0868864        0.471291 
          0.008        0.263213     0.000323322        0.149303       0.0238344        0.125469 
           0.01         108.956         0.10707         1.18214        0.172038          1.0112 
         0.0032        0.860496      0.00264252         0.32739       0.0600325        0.267358 
          0.001        0.387311      0.00380609        0.239396       0.0391299        0.200267 
           0.01         2.88652      0.00283657        0.461284       0.0835062        0.377778 
          0.008         1.29923      0.00159593         0.34914       0.0654016        0.283739 
          0.001         4.24744       0.0417394        0.856643        0.154625        0.702158 
          0.005        0.263213     0.000517316        0.155757       0.0245092        0.131248 
           0.01        0.584785     0.000574665        0.231756       0.0424476        0.189308 
         0.0001         9.43662        0.927331         1.65801        0.358503         1.60618 
         0.0008        0.387311      0.00475761        0.246116       0.0399991        0.206117 
          0.001         1.91178        0.018787        0.590054        0.107763         0.48231 
         0.0032          14.248       0.0437544         1.03673        0.179539        0.857367 
          0.002        0.860496      0.00422803        0.350085       0.0636233        0.286463 
         0.0032        0.263213     0.000808306        0.162786       0.0252779        0.137508 
         0.0001        0.387311       0.0380609        0.319462       0.0492751        0.270224 
          0.008        0.584785     0.000718331        0.237736       0.0433028        0.194433 
          0.005         1.29923      0.00255349        0.375223       0.0698927        0.305331 
          0.002        0.263213      0.00129329        0.171054       0.0262035        0.144851 
         0.0032         6.41303       0.0196939        0.788213        0.139299        0.648942 
          1e-05        0.387311        0.380609        0.415388       0.0612932        0.360512 
          0.001        0.860496      0.00845605        0.387401       0.0694765        0.317927 
          0.008         2.88652      0.00354571        0.482118       0.0874389         0.39468 
         0.0008         4.24744       0.0521742        0.895981        0.161809        0.734404 
         0.0008         1.91178       0.0234837        0.613334        0.111772        0.501593 
          0.001        0.263213      0.00258658        0.184864       0.0277687        0.157096 
          0.005        0.584785      0.00114933        0.251226       0.0452478        0.205978 
         0.0032         47.7945        0.146773         1.45997        0.244123          1.2189 
           0.01        0.397414     0.000390537        0.187756        0.032795        0.154961 
         0.0032         1.29923      0.00398983        0.402402       0.0745248        0.327878 
         0.0008        0.263213      0.00323322        0.189667       0.0283132        0.161354 
         0.0008        0.860496       0.0105701        0.400302       0.0714831        0.328823 
         0.0032         21.5124       0.0660629         1.17613        0.201798        0.974802 
         0.0032        0.584785      0.00179583        0.265539       0.0473266        0.218212 
          0.008        0.397414     0.000488171        0.191938       0.0333117        0.158626 
         0.0001        0.263213       0.0258658        0.242109       0.0341439        0.207977 
           0.01         9.68278      0.00951521        0.681598        0.114259        0.567345 
         0.0001         1.91178         0.18787        0.866961        0.154965        0.715292 
         0.0001        0.860496       0.0845605        0.541225       0.0929282        0.448659 
         0.0001         4.24744        0.417394         1.30497        0.240535         1.09572 
          0.002         1.29923      0.00638372        0.433546       0.0797835        0.353764 
