# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use masses: true, scheme:0
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.165, alphas_scaling=6.35, gamma=1.135, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=42.2436, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.165000_asC^26.350000_gamma1.135000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.008
# printing dipole at xbj=0.005
# printing dipole at xbj=0.0032
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=0.0008
# printing dipole at xbj=0.0001
# printing dipole at xbj=1e-05
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
         0.0001        0.367869       0.0361503        0.284637       0.0478081        0.236861 
           0.01            0.25     0.000245674        0.139471       0.0230856        0.116386 
          0.002         0.55543      0.00272909        0.258827       0.0488835        0.209944 
          1e-05        0.367869        0.361503        0.360194       0.0590982        0.306582 
          0.008         0.83862      0.00103013         0.27205       0.0542226        0.217828 
          0.008            0.25     0.000307092        0.141608       0.0233278        0.118281 
           0.01          1.2662      0.00124429        0.314643       0.0635776        0.251065 
          0.001         0.55543      0.00545818         0.28112       0.0526444        0.228476 
          0.005            0.25     0.000491347        0.146643       0.0239221        0.122721 
           0.01        0.377465     0.000370933        0.178112       0.0323743        0.145737 
          0.001         1.86318       0.0183094        0.517797        0.105679        0.412135 
          0.005         2.81314      0.00552891        0.466124       0.0933677        0.372758 
         0.0032            0.25      0.00076773        0.152288       0.0246249        0.127663 
          0.005         0.83862      0.00164822        0.287197       0.0570811        0.230116 
          0.008        0.377465     0.000463666        0.181339       0.0328319        0.148507 
         0.0008         0.55543      0.00682272        0.288845       0.0539454        0.234901 
           0.01         4.24744      0.00417394        0.465541          0.0892        0.376342 
         0.0008            6.25        0.076773        0.865327        0.172838        0.693039 
          0.002            0.25      0.00122837        0.159028       0.0254838        0.133545 
          0.008          1.2662      0.00155536        0.323989       0.0655114        0.258478 
          0.005        0.377465     0.000741865         0.18882       0.0339154        0.154905 
          0.001            0.25      0.00245674        0.170394       0.0269526        0.143441 
         0.0001         0.55543       0.0545818        0.372472       0.0677798        0.304799 
         0.0032         9.43662       0.0289791        0.734948        0.138025        0.596983 
         0.0008         1.86318       0.0228867        0.536365        0.109497        0.426898 
         0.0032         0.83862      0.00257534        0.303287       0.0601017        0.243186 
         0.0008            0.25      0.00307092        0.174353       0.0274657        0.146888 
         0.0032        0.377465      0.00115916        0.197039       0.0351329        0.161906 
          1e-05         0.55543        0.545818        0.465897       0.0858036        0.401284 
           0.01          14.248       0.0140014        0.616936        0.104628        0.512318 
         0.0001            0.25       0.0245674        0.217322       0.0329658        0.184367 
         0.0032         2.81314      0.00863892        0.503513        0.101559        0.401958 
           0.01         21.5124       0.0211401        0.668097        0.108082         0.56004 
          0.005          1.2662      0.00248857         0.34493       0.0698045        0.275126 
          0.002        0.377465      0.00185466        0.206743       0.0365864        0.170157 
          1e-05            0.25        0.245674        0.273625       0.0399595        0.235203 
          0.002          31.655        0.155536         1.11691         0.19425        0.925405 
          0.002         0.83862      0.00412054        0.321926       0.0635792        0.258348 
         0.0001         1.86318        0.183094        0.736207        0.150434        0.588798 
           0.01        0.569918     0.000560056        0.221421       0.0427803        0.178641 
         0.0001            6.25        0.614184         1.19856        0.262586          1.0222 
           0.01        0.256521     0.000252082        0.141731       0.0236207         0.11811 
          0.001        0.377465      0.00370933        0.222965       0.0390293        0.183936 
          0.008         4.24744      0.00521742        0.486256       0.0939305        0.392327 
          0.008         47.7945       0.0587093        0.822395        0.124177        0.698445 
          0.008        0.256521     0.000315103        0.143925       0.0238732        0.120051 
          0.001         0.83862      0.00824108        0.352649       0.0692649        0.283386 
          0.008        0.569918      0.00070007         0.22619       0.0435825        0.182607 
         0.0008        0.377465      0.00463666        0.228599       0.0398772        0.188723 
          0.002         106.186        0.521742         1.40141        0.226629         1.22499 
