# === Perturbative settings ===
# Settings: lopc (scheme), lobk, balsdrc
# Use masses: true, scheme:3
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.165, alphas_scaling=6.35, gamma=1.135, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=42.2436, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.165000_asC^26.350000_gamma1.135000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.008
# printing dipole at xbj=0.005
# printing dipole at xbj=0.0032
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=0.0008
# printing dipole at xbj=0.0001
# printing dipole at xbj=1e-05
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.145882       0.0231395        0.122743 
         0.0001        0.367869       0.0361503        0.316178       0.0481631        0.268048 
          0.002         0.55543      0.00272909        0.281364        0.049274         0.23209 
          0.008         0.83862      0.00103013        0.294004       0.0547891        0.239215 
          0.008            0.25     0.000307092        0.148515       0.0233856        0.125129 
          1e-05        0.367869        0.361503        0.410741       0.0596503        0.356628 
           0.01          1.2662      0.00124429        0.344252       0.0646714         0.27958 
          0.001         1.86318       0.0183094        0.600473        0.109697        0.490795 
          0.001         0.55543      0.00545818        0.308263       0.0531093        0.255155 
          0.005            0.25     0.000491347        0.154643       0.0239885        0.130654 
          0.005         2.81314      0.00552891        0.539659       0.0983208         0.44134 
           0.01        0.377465     0.000370933        0.187673       0.0324935         0.15518 
           0.01         4.24744      0.00417394        0.545415         0.09628        0.449135 
         0.0008            6.25        0.076773         1.09543        0.197391        0.898666 
          0.005         0.83862      0.00164822        0.312672       0.0577325        0.254939 
         0.0032            0.25      0.00076773        0.161412       0.0246999        0.136712 
          0.008          1.2662      0.00155536        0.355944       0.0666865        0.289257 
         0.0008         0.55543      0.00682272        0.317593       0.0544361        0.263158 
         0.0008         1.86318       0.0228867        0.624033        0.113743         0.51032 
          0.008        0.377465     0.000463666        0.191642       0.0329597        0.158682 
          0.002            0.25      0.00122837        0.169437       0.0255686        0.143868 
         0.0032         9.43662       0.0289791        0.935839        0.164072        0.771838 
         0.0032         0.83862      0.00257534        0.332391       0.0608398        0.271551 
         0.0001         0.55543       0.0545818        0.419455        0.068558        0.351005 
           0.01          14.248       0.0140014        0.786066         0.12983        0.656249 
          0.005        0.377465     0.000741865        0.200759       0.0340621        0.166697 
         0.0032         2.81314      0.00863892        0.587894        0.107207        0.480691 
          0.001            0.25      0.00245674        0.182917       0.0270534        0.155863 
          0.005          1.2662      0.00248857        0.382055        0.071158        0.310897 
         0.0001         1.86318        0.183094        0.880664        0.157254        0.726571 
          1e-05         0.55543        0.545818        0.541068       0.0870158        0.475543 
         0.0001            6.25        0.614184         1.57327        0.303242         1.36959 
           0.01         21.5124       0.0211401        0.873566        0.141629        0.731969 
          0.002          31.655        0.155536         1.55187        0.270254         1.28543 
         0.0008            0.25      0.00307092        0.187614       0.0275721        0.160042 
          0.002         0.83862      0.00412054        0.355177       0.0644159        0.290762 
         0.0032        0.377465      0.00115916        0.210662       0.0352989        0.175363 
          0.008         4.24744      0.00521742         0.57279        0.101578        0.471214 
         0.0001            0.25       0.0245674        0.238945       0.0331339        0.205821 
          0.008         47.7945       0.0587093         1.12884        0.178661        0.950508 
           0.01        0.569918     0.000560056        0.235599       0.0430398        0.192559 
         0.0032          1.2662       0.0038884         0.40937       0.0757924        0.333578 
          0.002        0.377465      0.00185466        0.222289       0.0367742        0.185515 
          0.001         0.83862      0.00824108        0.392735       0.0702624        0.322475 
          0.002         2.81314       0.0138223        0.642968        0.117229         0.52575 
          1e-05            0.25        0.245674        0.308271       0.0402206        0.269598 
           0.01         1.91178       0.0018787        0.407863        0.075616        0.332247 
           0.01          72.163       0.0709142         1.13297        0.171059        0.962375 
          0.001        0.377465      0.00370933        0.241677       0.0392527        0.202425 
          0.008        0.569918      0.00070007        0.241472       0.0438608        0.197611 
           0.01        0.256521     0.000252082        0.148304       0.0236774        0.124627 
          0.002         9.43662       0.0463666         1.04806        0.185736        0.862537 
          0.002         106.186        0.521742          2.0459        0.349375         1.77393 
         0.0008         0.83862       0.0103013        0.405734       0.0722721        0.333466 
          0.002          1.2662      0.00622143        0.440748       0.0810651        0.359684 
         0.0008        0.377465      0.00463666        0.248415       0.0401129        0.208302 
          0.008        0.256521     0.000315103        0.151007        0.023934        0.127073 
           0.01         6.41303      0.00630205         0.62359        0.107242        0.516351 
          0.005         4.24744      0.00834787        0.633337        0.113175        0.520166 
          0.005        0.569918      0.00112011        0.254801       0.0457457        0.209055 
          0.008          14.248       0.0175017        0.838077        0.140176        0.697923 
          0.001         2.81314       0.0276446        0.733151        0.133404        0.599799 
          0.008         1.91178      0.00234837        0.423887       0.0785389        0.345349 
         0.0001         0.83862       0.0824108        0.547683       0.0937146        0.454314 
         0.0001        0.377465       0.0370933        0.321995       0.0493027        0.272727 
          0.005        0.256521     0.000504164        0.157292       0.0245626         0.13273 
          0.001          1.2662       0.0124429        0.492243       0.0896109        0.402639 
         0.0032        0.569918      0.00175017        0.269056       0.0477854        0.221271 
          1e-05        0.377465        0.370933        0.418336       0.0611496        0.363215 
         0.0032        0.256521     0.000787757        0.164226       0.0252987        0.138928 
          1e-05         0.83862        0.824108          0.6692        0.122201        0.627502 
          0.008         21.5124       0.0264252        0.935778        0.154016        0.781817 
          0.001          31.655        0.311072         1.86209        0.334871          1.5492 
          0.002        0.256521      0.00126041        0.172442       0.0261978        0.146244 
          0.002        0.569918      0.00280028        0.285648       0.0501698        0.235478 
           0.01        0.387311     0.000380609        0.190493       0.0331236        0.157369 
         0.0008         2.81314       0.0345557        0.764351        0.138949        0.625488 
          0.001         9.43662       0.0927331         1.23275         0.22119          1.0126 
          0.005         1.91178      0.00375739        0.459505       0.0849844        0.374521 
         0.0008          1.2662       0.0155536        0.510057       0.0925436        0.417525 
         0.0032         4.24744       0.0130436        0.695962        0.124993         0.57098 
          0.001        0.256521      0.00252082        0.186237       0.0277331        0.158504 
           0.01        0.860496     0.000845605        0.289223       0.0541836        0.235039 
          0.008         6.41303      0.00787757        0.658387         0.11407        0.544321 
          0.008        0.387311     0.000475761        0.194562       0.0336079        0.160954 
          0.001        0.569918      0.00560056        0.313124       0.0541118        0.259013 
         0.0008        0.256521      0.00315103        0.191045        0.028271        0.162774 
         0.0001          1.2662        0.124429        0.704613        0.123908        0.581791 
          0.005         47.7945       0.0939348         1.31562        0.215264          1.1014 
          0.005        0.387311     0.000761217        0.203904       0.0347499        0.169155 
         0.0001         2.81314        0.276446          1.1006        0.199044        0.911541 
          0.008        0.860496      0.00105701        0.297699       0.0555295         0.24217 
         0.0001        0.256521       0.0252082        0.243564        0.034018        0.209557 
         0.0008        0.569918       0.0070007         0.32265       0.0554722        0.267179 
         0.0032         1.91178      0.00587093        0.496501       0.0915798        0.404923 
          0.005          14.248       0.0280028        0.953467         0.16302        0.790513 
          1e-05        0.256521        0.252082        0.314429       0.0413459        0.274768 
         0.0032        0.387311       0.0011894         0.21404       0.0360282        0.178012 
         0.0001        0.569918       0.0560056          0.4267       0.0699881        0.356828 
           0.01         1.29923      0.00127674         0.34808       0.0653644        0.282715 
         0.0008         9.43662        0.115916         1.29668        0.233485         1.06496 
          0.005        0.860496      0.00169121        0.316776       0.0585561         0.25822 
          0.002         4.24744       0.0208697        0.767482        0.138326        0.629187 
           0.01        0.263213     0.000258658        0.150754       0.0242233        0.126531 
          0.008          72.163       0.0886427         1.22863         0.18943         1.04002 
          0.002        0.387311      0.00190304        0.225934       0.0375506        0.188383 
          0.005         6.41303       0.0126041        0.735359        0.129052        0.606317 
          1e-05        0.569918        0.560056        0.549593        0.088975           0.484 
          0.002         1.91178      0.00939348        0.538852       0.0990464         0.43981 
           0.01         2.88652      0.00283657        0.476522       0.0862953        0.390227 
          0.008        0.263213     0.000323322        0.153527       0.0244909        0.129036 
