# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.165, alphas_scaling=6.35, gamma=1.135, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=42.2436, q_mass_c=0, q_mass_b=0
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.165000_asC^26.350000_gamma1.135000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=1e-05
# printing dipole at xbj=1e-07
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.139471       0.0230856        0.116386 
           0.01        0.377465     0.000370933        0.178112       0.0323743        0.145737 
           0.01        0.569918     0.000560056        0.221421       0.0427803        0.178641 
          0.002            0.25      0.00122837        0.159028       0.0254838        0.133545 
          0.001         0.83862      0.00824108        0.352649       0.0692649        0.283386 
          0.002        0.377465      0.00185466        0.206743       0.0365864        0.170157 
          0.001            0.25      0.00245674        0.170394       0.0269526        0.143441 
           0.01          1.2662      0.00124429        0.314643       0.0635776        0.251065 
          0.002        0.569918      0.00280028        0.262552         0.04976        0.212792 
           0.01         1.91178       0.0018787        0.365468       0.0734373        0.292031 
          1e-05            0.25        0.245674        0.273625       0.0399595        0.235203 
          1e-05         0.83862        0.824108        0.558998        0.119585        0.518192 
          0.001         2.81314       0.0276446        0.615845         0.12567        0.490224 
          0.001        0.377465      0.00370933        0.222965       0.0390293        0.183936 
           0.01        0.256521     0.000252082        0.141731       0.0236207         0.11811 
          1e-05        0.377465        0.370933        0.366508       0.0605695        0.311909 
          0.001        0.569918      0.00560056        0.285304       0.0536238        0.231681 
           0.01         4.24744      0.00417394        0.465541          0.0892        0.376342 
          0.002        0.256521      0.00126041        0.161768       0.0261086        0.135659 
          0.002          1.2662      0.00622143        0.392189       0.0793213        0.312869 
           0.01        0.860496     0.000845605        0.268376       0.0536307        0.214746 
          0.001         9.43662       0.0927331        0.947694        0.184477        0.764087 
           0.01        0.387311     0.000380609        0.180691       0.0329984        0.147693 
           0.01         6.41303      0.00630205        0.517249       0.0954851        0.421766 
          1e-05        0.569918        0.560056         0.47256       0.0877024        0.407905 
          0.001        0.256521      0.00252082        0.173394       0.0276271        0.145767 
          0.002         1.91178      0.00939348        0.468934       0.0955457        0.373393 
          0.002        0.387311      0.00190304        0.209996       0.0373534        0.172643 
          1e-05        0.256521        0.252082        0.278896       0.0410713        0.239498 
           0.01          14.248       0.0140014        0.616936        0.104628        0.512318 
           0.01        0.584785     0.000574665        0.224261       0.0434533        0.180808 
          0.001          1.2662       0.0124429        0.433632       0.0875283        0.346111 
          0.002        0.860496      0.00422803        0.326115       0.0645386        0.261577 
           0.01         2.88652      0.00283657        0.417028       0.0821728        0.334856 
          0.001          31.655        0.311072         1.32401        0.239736         1.10001 
           0.01        0.263213     0.000258658        0.144013       0.0241637        0.119849 
           0.01         21.5124       0.0211401        0.668097        0.108082         0.56004 
