# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.06, alphas_scaling=7.2, gamma=1, e_c=18.9, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=42.0125, q_mass_c=0, q_mass_b=0
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.060000_asC^27.200000_gamma1.000000_ec18.900000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=1e-05
# printing dipole at xbj=1e-07
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.135603       0.0224475        0.113155 
           0.01        0.377465     0.000370933        0.173063       0.0314544        0.141608 
           0.01        0.569918     0.000560056        0.215018       0.0415337        0.173484 
          0.002            0.25      0.00122837        0.155138        0.024886        0.130252 
          0.001         0.83862      0.00824108        0.343158       0.0674033        0.275757 
          0.002        0.377465      0.00185466        0.201509       0.0356842        0.165824 
          0.001            0.25      0.00245674        0.166285       0.0263354         0.13995 
           0.01          1.2662      0.00124429        0.305224         0.06165        0.243574 
          0.002        0.569918      0.00280028        0.255665       0.0484691        0.207196 
           0.01         1.91178       0.0018787        0.354318       0.0711595        0.283159 
          1e-05            0.25        0.245674        0.267391       0.0391397        0.229756 
          1e-05         0.83862        0.824108        0.544597        0.116625        0.504801 
          0.001        0.377465      0.00370933        0.217389       0.0380855        0.179304 
          0.001         2.81314       0.0276446        0.597443        0.121746        0.475745 
           0.01        0.256521     0.000252082        0.137795       0.0229681        0.114827 
          1e-05        0.377465        0.370933        0.357819        0.059245        0.304414 
          0.001        0.569918      0.00560056        0.277896        0.052255        0.225642 
           0.01         4.24744      0.00417394        0.450714       0.0862344        0.364481 
          0.002        0.256521      0.00126041        0.157802       0.0254942        0.132308 
           0.01         6.41303      0.00630205        0.500345       0.0921469        0.408199 
          0.001         9.43662       0.0927331        0.917039        0.177972        0.739907 
          0.002          1.2662      0.00622143        0.381172       0.0770563        0.304118 
           0.01        0.860496     0.000845605        0.260473       0.0520348        0.208438 
           0.01        0.387311     0.000380609        0.175563       0.0320593        0.143504 
          1e-05        0.569918        0.560056        0.460878        0.085656        0.397732 
          0.001        0.256521      0.00252082        0.169204       0.0269922        0.142212 
          0.002         1.91178      0.00939348        0.455306       0.0926828        0.362628 
          1e-05        0.256521        0.252082        0.272525       0.0402251        0.233939 
          0.002        0.387311      0.00190304        0.204668       0.0364291        0.168239 
           0.01          14.248       0.0140014         0.59586         0.10057          0.4953 
          0.001          31.655        0.311072         1.27995        0.230765         1.06433 
          0.002        0.860496      0.00422803         0.31725       0.0627785        0.254473 
           0.01        0.584785     0.000574665        0.217767       0.0421855        0.175582 
           0.01        0.263213     0.000258658        0.140009       0.0234948        0.116514 
          0.001          1.2662       0.0124429        0.421521       0.0850482         0.33648 
          0.001        0.387311      0.00380609        0.220892       0.0389037        0.181989 
           0.01         2.88652      0.00283657        0.404037       0.0795436        0.324493 
           0.01         21.5124       0.0211401        0.644988        0.103707        0.541304 
