# === Perturbative settings ===
# Settings: lopc (scheme), lobk, balsdrc
# Use masses: true, scheme:3
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.165, alphas_scaling=6.35, gamma=1.135, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=42.2436, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.165000_asC^26.350000_gamma1.135000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=1e-05
# printing dipole at xbj=1e-07
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.145882       0.0231395        0.122743 
           0.01        0.377465     0.000370933        0.187673       0.0324935         0.15518 
           0.01        0.569918     0.000560056        0.235599       0.0430398        0.192559 
          0.001         0.83862      0.00824108        0.392735       0.0702624        0.322475 
          0.002            0.25      0.00122837        0.169437       0.0255686        0.143868 
           0.01          1.2662      0.00124429        0.344252       0.0646714         0.27958 
          0.002        0.377465      0.00185466        0.222289       0.0367742        0.185515 
           0.01         1.91178       0.0018787        0.407863        0.075616        0.332247 
          0.001         2.81314       0.0276446        0.733151        0.133404        0.599799 
          0.002        0.569918      0.00280028        0.285648       0.0501698        0.235478 
          0.001            0.25      0.00245674        0.182917       0.0270534        0.155863 
          1e-05         0.83862        0.824108          0.6692        0.122201        0.627502 
          0.001        0.377465      0.00370933        0.241677       0.0392527        0.202425 
           0.01         4.24744      0.00417394        0.545415         0.09628        0.449135 
          1e-05            0.25        0.245674        0.308271       0.0402206        0.269598 
           0.01         6.41303      0.00630205         0.62359        0.107242        0.516351 
          0.002          1.2662      0.00622143        0.440748       0.0810651        0.359684 
          0.001        0.569918      0.00560056        0.313124       0.0541118        0.259013 
          0.001         9.43662       0.0927331         1.23275         0.22119          1.0126 
          1e-05        0.377465        0.370933        0.418336       0.0611496        0.363215 
           0.01        0.256521     0.000252082        0.148304       0.0236774        0.124627 
           0.01        0.860496     0.000845605        0.289223       0.0541836        0.235039 
          0.002         1.91178      0.00939348        0.538852       0.0990464         0.43981 
          1e-05        0.569918        0.560056        0.549593        0.088975           0.484 
           0.01          14.248       0.0140014        0.786066         0.12983        0.656249 
           0.01        0.387311     0.000380609        0.190493       0.0331236        0.157369 
           0.01         2.88652      0.00283657        0.476522       0.0862953        0.390227 
          0.002        0.256521      0.00126041        0.172442       0.0261978        0.146244 
          0.001          1.2662       0.0124429        0.492243       0.0896109        0.402639 
           0.01         21.5124       0.0211401        0.873566        0.141629        0.731969 
          0.002        0.860496      0.00422803        0.360173       0.0654153        0.294759 
          0.001          31.655        0.311072         1.86209        0.334871          1.5492 
          0.001        0.256521      0.00252082        0.186237       0.0277331        0.158504 
           0.01        0.584785     0.000574665        0.238788       0.0437255        0.195063 
          0.002        0.387311      0.00190304        0.225934       0.0375506        0.188383 
          0.001         1.91178        0.018787         0.60823        0.111103        0.497146 
          0.002         4.24744       0.0208697        0.767482        0.138326        0.629187 
          1e-05        0.256521        0.252082        0.314429       0.0413459        0.274768 
          0.002         6.41303       0.0315103         0.90606        0.161663        0.744481 
          0.001        0.387311      0.00380609        0.245757       0.0401058        0.205652 
          0.001        0.860496      0.00845605        0.398499       0.0714096        0.327092 
           0.01         1.29923      0.00127674         0.34808       0.0653644        0.282715 
          0.002        0.584785      0.00287333        0.289972       0.0510725          0.2389 
           0.01         47.7945       0.0469674         1.04504        0.162306        0.882925 
          0.002         2.88652       0.0141828        0.650322        0.118489        0.531845 
           0.01        0.263213     0.000258658        0.150754       0.0242233        0.126531 
          1e-05        0.387311        0.380609        0.426019       0.0626759        0.369905 
           0.01         9.68278      0.00951521         0.70593        0.118718        0.587218 
          1e-05        0.860496        0.845605        0.675867        0.124683        0.638263 
          0.002        0.263213      0.00129329        0.175488       0.0268382         0.14865 
          0.001        0.584785      0.00574665        0.318043       0.0551247         0.26292 
           0.01         1.96165       0.0019277        0.412007       0.0762897        0.335717 
           0.01        0.397414     0.000390537        0.193337       0.0337586        0.159578 
          0.002         1.29923      0.00638372        0.446505       0.0821502        0.364357 
           0.01          72.163       0.0709142         1.13297        0.171059        0.962375 
          0.001         4.24744       0.0417394        0.884737        0.159912         0.72497 
          0.001        0.263213      0.00258658        0.189604       0.0284253        0.161179 
          0.002          14.248        0.070007         1.21101        0.213539        0.998035 
           0.01         108.956         0.10707         1.21968         0.17827         1.04255 
          1e-05        0.584785        0.574665        0.558113       0.0909652        0.492586 
          0.001         2.88652       0.0283657        0.742056        0.134968        0.607144 
           0.01        0.882943     0.000867663        0.292752       0.0548858        0.237866 
          0.002        0.397414      0.00195268         0.22962       0.0383357        0.191285 
          0.001         6.41303       0.0630205         1.05561        0.189816        0.866196 
          0.001         1.29923       0.0127674        0.498997        0.090892        0.408113 
          0.002         1.96165      0.00963852         0.54542        0.100215         0.44521 
          1e-05        0.263213        0.258658         0.32068       0.0424944         0.28002 
          0.002         21.5124        0.105701         1.38366        0.242665          1.1425 
           0.01        0.600039     0.000589655        0.241998       0.0444124        0.197586 
          0.001        0.397414      0.00390537        0.249888       0.0409691        0.208919 
          0.002        0.882943      0.00433832        0.365216       0.0664205        0.298796 
           0.01        0.270079     0.000265405        0.153229       0.0247756        0.128453 
          0.002         9.68278       0.0475761         1.05793        0.187425        0.870727 
          1e-05        0.397414        0.390537        0.433789       0.0642301        0.376702 
          0.002        0.600039      0.00294828         0.29434       0.0519821        0.242358 
           0.01         32.4807       0.0319186        0.962021        0.152814        0.809287 
           0.01         4.35824      0.00428282        0.550163       0.0969533        0.453211 
           0.01         1.33312      0.00131005        0.351927       0.0660557        0.285872 
           0.01         2.96182      0.00291056         0.48098       0.0869583        0.394022 
          0.002        0.270079      0.00132703        0.178573       0.0274882        0.151085 
          0.001         1.96165        0.019277        0.616061        0.112521        0.503562 
