# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
2.7 0.02 0.001334 0.3449 0.02831280651 2.5373 2.4494 8.20899
6.5 0.02 0.0032115 0.49769 0.013579820033 1.1417 1.8903 2.72857
8.5 0.02 0.0041996 0.45624 0.011879759616 0.82616 1.8472 2.60384
10.0 0.02 0.0049407 0.51306 0.010838033358 1.0539 1.2703 2.11243
12.0 0.02 0.0059289 0.49046 0.012038291654 0.90078 1.8451 2.45449
15.0 0.02 0.0074111 0.52935 0.008633116215 0.69093 0.92867 1.63089
18.0 0.02 0.0088933 0.53574 0.011715240876 0.55531 1.757 2.18674
27.0 0.02 0.01334 0.57643 0.00852482327 0.84668 0.76613 1.4789
35.0 0.02 0.017292 0.59057 0.007411240101 0.64588 0.62995 1.25493
45.0 0.02 0.022233 0.60058 0.007416081956 0.72132 0.55888 1.23482
60.0 0.02 0.029644 0.63101 0.008385681193 0.81793 0.66653 1.32893
70.0 0.02 0.034585 0.63677 0.013095366081 1.77 0.67004 2.05653
90.0 0.02 0.044466 0.64913 0.009032773776 0.94718 0.61913 1.39152
120.0 0.02 0.059289 0.66608 0.010248506704 1.102 0.66187 1.53863
150.0 0.02 0.074111 0.68714 0.014041224902 1.6806 0.68318 2.04343
200.0 0.02 0.098814 0.70105 0.00705943329 0.59476 0.29541 1.00698
250.0 0.02 0.12352 0.70742 0.007825338556 0.6523 0.48181 1.10618
300.0 0.02 0.14822 0.7031 0.00793483505 0.72062 0.41685 1.12855
400.0 0.02 0.19763 0.71427 0.009005016171 0.84991 0.5399 1.26073
500.0 0.02 0.24704 0.74136 0.012319772208 1.1597 0.89736 1.66178
650.0 0.02 0.32115 0.74569 0.010481269502 1.0539 0.55218 1.40558
800.0 0.02 0.39526 0.73302 0.01198524351 1.2798 0.67383 1.63505
1000.0 0.02 0.49407 0.73614 0.01666547346 1.929 0.88755 2.2639
1200.0 0.02 0.59289 0.7551 0.0144012672 1.5401 0.78597 1.9072
1500.0 0.02 0.74111 0.70902 0.018365886864 2.0514 0.98316 2.59032
