# Loaded 669 datapoints from ./data/hera_II_combined_sigmar.txt in Q2 range 0.5 - 1000 GeV^2, now we have in total 669 points 
# 0.06 4.6
# === Perturbative settings ===
# Settings: lo (scheme), lobk, balpdrc
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    1 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 2 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   1 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08
# config::INTACCURACY = 0.005, config::RPOINTS = 200, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
=== Initial parameters ===

# ext. ||   Name    ||   type  ||     Value     ||  Error +/- 

   0   ||    qs0sqr ||  const  ||                0.06 ||
   1   ||alphascalingC2 ||  const  ||                 4.6 ||
   2   ||       e_c ||  const  ||                38.9 ||
   3   ||anomalous_dimension ||  const  ||                   1 ||
   4   ||icx0_nlo_impfac ||  const  ||                   1 ||
   5   ||   icx0_bk ||  const  ||                0.01 ||
   6   ||icTypicalPartonVirtualityQ0sqr ||  const  ||                   1 ||
   7   ||initialconditionY0 ||  const  ||                   0 ||
   8   ||      eta0 ||  const  ||                   0 ||
   9   ||old_sigma02 ||  const  ||             35.6952 ||
  10   ||mass_charm ||  const  ||                 1.4 ||
  11   ||mass_bottom ||  const  ||                 4.9 ||



=== Initializing Chi^2 regression ===  parameters (0.06, 4.6, 38.9, 1, 1, 0.01, 1, 0, 0, 35.6952, 1.4, 4.9)
#### Solving BK equation up to y=10.8198
                                                   # Evolved up to 0.4/10.8198, h=0.714206                                                   # Evolved up to 0.8/10.8198, h=0.802348                                                   # Evolved up to 1.2/10.8198, h=0.898463                                                   # Evolved up to 1.6/10.8198, h=1.00454                                                   # Evolved up to 2/10.8198, h=1.10314                                                   # Evolved up to 2.4/10.8198, h=1.11911                                                   # Evolved up to 2.8/10.8198, h=1.12583                                                   # Evolved up to 3.2/10.8198, h=1.14961                                                   # Evolved up to 3.6/10.8198, h=1.16463                                                   # Evolved up to 4/10.8198, h=1.17881                                                   # Evolved up to 4.4/10.8198, h=1.19338                                                   # Evolved up to 4.8/10.8198, h=1.20719                                                   # Evolved up to 5.2/10.8198, h=1.22134                                                   # Evolved up to 5.6/10.8198, h=1.23495                                                   # Evolved up to 6/10.8198, h=1.24822                                                   # Evolved up to 6.4/10.8198, h=1.26157                                                   # Evolved up to 6.8/10.8198, h=1.27483                                                   # Evolved up to 7.2/10.8198, h=0.641307                                                   # Evolved up to 7.6/10.8198, h=1.30084                                                   # Evolved up to 8/10.8198, h=1.29216                                                   # Evolved up to 8.4/10.8198, h=1.32632                                                   # Evolved up to 8.8/10.8198, h=1.33914                                                   # Evolved up to 9.2/10.8198, h=1.35088                                                   # Evolved up to 9.6/10.8198, h=1.35867                                                   # Evolved up to 10/10.8198, h=1.37562                                                   # Evolved up to 10.4/10.8198, h=1.38798                                                   # Evolved up to 10.8/10.8198, h=1.39985                                                   # Evolved up to 11.2/10.8198, h=1.412
#AmplitudeLib initialized , minr: 1e-06 maxr: 27.5255 rpoints: 200 maxy 11.2 x0 0.01 Q_{s,0}^2 = 0.280538 GeV^2 [ N(r^2=2/Q_s^2, x=x0) = 0.3934] (AmplitudeLib v. 2.1 2017-07-25 git commit deb0171bfc81b828f6432ed07df21e25a9196eb4)
# Using parent dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
=== Computing Reduced Cross sections ===
    0.0008         60    0.74111     1.4831  0.0357802    1.46522
    0.0013         90     0.6841      1.466  0.0314074    1.43425
    0.0015         90    0.59289     1.4219  0.0308198    1.40705
     0.002         90    0.44466       1.27  0.0630706    1.32496
    0.0016        120    0.74111     1.4388  0.0321247    1.41611
     0.002        120    0.59289     1.3558  0.0225608    1.37082
    0.0032        120    0.37055     1.2184  0.0216398    1.22393
     0.002        150    0.74111     1.3552  0.0313372    1.38403
    0.0032        150    0.46319     1.2286  0.0182816    1.26143
     0.005        150    0.29644     1.1088  0.0187116    1.10629
     0.008        150    0.18528    0.95164  0.0214959    0.94641
    0.0026        200    0.76011     1.2836  0.0320939     1.3415
    0.0032        200    0.61759     1.2495  0.0218003    1.29479
     0.005        200    0.39526     1.1112  0.0142192    1.14983
     0.008        200    0.24704    0.94415  0.0127064   0.984139
    0.0033        250    0.74859     1.2701  0.0329557    1.29452
     0.005        250    0.49407     1.1238  0.0175627    1.17789
     0.008        250    0.30879    0.96093  0.0127142     1.0122
    0.0039        300    0.76011     1.2157  0.0329878    1.25845
     0.005        300    0.59289     1.1566  0.0234582    1.19408
     0.008        300    0.37055    0.98719  0.0139631    1.03366
    0.0053        400    0.74577     1.1528  0.0323243    1.18602
     0.008        400    0.49407     1.0323  0.0159575    1.06202
    0.0066        500    0.74859     1.0587  0.0307689    1.12746
     0.008        500    0.61759     1.0065    0.02497    1.07575
    0.0085        650    0.75564    0.98713  0.0283224    1.06059
  7.32e-06        0.5    0.67496    0.42844  0.0385674      0.405
  1.58e-05        0.5     0.3127    0.42553  0.0191955    0.39661
  2.12e-05        0.5    0.23305    0.38987  0.0116481   0.386197
  2.76e-05        0.5    0.17901    0.37692  0.0103219   0.376017
  3.98e-05        0.5    0.12414    0.36428  0.0112967   0.361492
    0.0001        0.5   0.049407    0.34846 0.00961645   0.325592
  0.000251        0.5   0.019684     0.3078 0.00879908   0.292218
  0.000368        0.5   0.013426    0.30043 0.00909894   0.279282
    0.0008        0.5  0.0061759    0.28667 0.00834167   0.254841
    0.0032        0.5   0.001544    0.18222  0.0238985   0.217955
  9.52e-06       0.65    0.67468    0.46436  0.0259279   0.469247
  1.58e-05       0.65    0.40651    0.46249  0.0298242   0.468015
  3.98e-05       0.65    0.16138    0.47214  0.0173826   0.428647
  5.98e-05       0.65    0.10741    0.41641  0.0158812   0.408971
    0.0001       0.65   0.064229    0.40885  0.0133638   0.384588
  0.000251       0.65   0.025589      0.361  0.0110538    0.34339
  0.000478       0.65   0.013437    0.33222  0.0111278   0.316949
    0.0008       0.65  0.0080287    0.31814 0.00958448   0.297285
    0.0032       0.65  0.0020072     0.2236  0.0150972   0.251658
  1.24e-05       0.85    0.67736    0.55217  0.0233355   0.540114
     2e-05       0.85    0.41996    0.61122  0.0362576   0.539534
  3.98e-05       0.85    0.21104    0.55833  0.0182527   0.505904
     5e-05       0.85    0.16798    0.54141  0.0318447   0.492735
    0.0001       0.85   0.083992    0.50299  0.0298452   0.452427
  0.000251       0.85   0.033463    0.39692  0.0281812   0.401746
    0.0008       0.85   0.010499    0.34934  0.0192821   0.345037
    0.0032       0.85  0.0026248     0.3076  0.0167688   0.288781
  1.76e-05        1.2    0.67373    0.59235  0.0248785   0.638629
     2e-05        1.2    0.59289    0.66728  0.0258909   0.642828
   3.2e-05        1.2    0.37055    0.68516  0.0237629   0.630404
  6.31e-05        1.2    0.18792    0.64885  0.0160523   0.585034
     8e-05        1.2    0.14822    0.59452   0.018369   0.567469
   0.00013        1.2   0.091213    0.54274  0.0312465   0.531962
  0.000158        1.2   0.075049    0.53274  0.0133283   0.518062
  0.000398        1.2   0.029793    0.49272  0.0207347   0.455435
    0.0013        1.2  0.0091213    0.37212  0.0173396   0.385327
     0.005        1.2  0.0023715     0.2979  0.0161828   0.320424
 1.853e-05        1.5     0.7999    0.61878  0.0444278   0.689859
 2.196e-05        1.5    0.67496    0.69589  0.0215523   0.705486
   3.2e-05        1.5    0.46319    0.75346  0.0226816   0.706287
     5e-05        1.5    0.29644    0.75951  0.0191226   0.679103
     8e-05        1.5    0.18528    0.69893  0.0198894   0.640787
   0.00013        1.5    0.11402    0.64584  0.0208657   0.599684
    0.0002        1.5   0.074111     0.6124  0.0238919   0.564093
   0.00032        1.5   0.046319    0.57686  0.0181581   0.526942
    0.0005        1.5   0.029644    0.54727  0.0422254   0.493508
    0.0008        1.5   0.018528    0.48973  0.0180334   0.460316
     0.001        1.5   0.014822    0.46208  0.0303604   0.445299
    0.0032        1.5  0.0046319    0.41003  0.0139039   0.375209
  2.47e-05          2    0.80012    0.78079   0.042438   0.776823
 2.928e-05          2    0.67496    0.78789  0.0210215   0.794269
     5e-05          2    0.39526    0.82276  0.0218716   0.783847
     8e-05          2    0.24704    0.76154  0.0146753   0.742952
   0.00013          2    0.15202    0.72306  0.0145568   0.694593
    0.0002          2   0.098814    0.67867  0.0142209   0.651717
   0.00032          2   0.061759    0.62657   0.014632   0.606691
    0.0005          2   0.039526    0.57473  0.0156527   0.566097
     0.001          2   0.019763    0.50981   0.011836     0.5076
    0.0032          2  0.0061759    0.42584  0.0111836   0.422502
 3.088e-05        2.7    0.86398    0.84531  0.0340425   0.855571
  3.66e-05        2.7    0.72896    0.86644  0.0261668    0.88164
  4.09e-05        2.7    0.65232    0.93728  0.0813918   0.889996
     5e-05        2.7     0.5336    0.88325  0.0215437   0.891196
     8e-05        2.7     0.3335    0.88929  0.0134813   0.856691
   0.00013        2.7    0.20523    0.80497  0.0108574   0.802201
    0.0002        2.7     0.1334    0.78138  0.0157357   0.751194
   0.00032        2.7   0.083374    0.69971  0.0126271   0.696916
    0.0005        2.7    0.05336    0.64484   0.011883     0.6478
    0.0008        2.7    0.03335    0.59438  0.0132896   0.599048
    0.0013        2.7   0.020523    0.56672  0.0115128   0.551952
     0.002        2.7    0.01334     0.4812  0.0146786   0.513089
     0.005        2.7   0.005336    0.45307   0.011038   0.439752
  4.06e-05        3.5    0.85185    0.80554  0.0605292   0.937831
 4.323e-05        3.5    0.80002    0.88079  0.0469842   0.949893
   4.6e-05        3.5    0.75185    0.96533  0.0425504    0.95904
 5.124e-05        3.5    0.67496    0.94011  0.0326683   0.968891
  5.31e-05        3.5    0.65132    0.88015  0.0367191   0.970634
     8e-05        3.5    0.43231    0.95226  0.0207647   0.956657
   0.00013        3.5    0.26604    0.91787  0.0123209    0.90125
    0.0002        3.5    0.17292    0.85416  0.0115236   0.843545
   0.00032        3.5    0.10808    0.79091  0.0112626   0.780577
    0.0005        3.5    0.06917    0.74923  0.0123658   0.723247
    0.0008        3.5   0.043231    0.65903  0.0107034   0.666227
    0.0013        3.5   0.026604    0.62339  0.0118094    0.61113
     0.002        3.5   0.017292     0.5684 0.00748475   0.565716
     0.008        3.5  0.0043231    0.46195 0.00779102   0.441295
  5.22e-05        4.5    0.85185    0.91607  0.0706424     1.0135
  5.92e-05        4.5    0.75112    0.97144  0.0404409    1.03548
 6.176e-05        4.5    0.71999    0.97035   0.048434    1.04034
  6.83e-05        4.5    0.65105     1.0796  0.0318255    1.04712
  7.32e-05        4.5    0.60746     1.0187  0.0299488    1.04839
  8.18e-05        4.5     0.5436     1.0795   0.169123    1.04564
   0.00013        4.5    0.34205     1.0204  0.0175007    1.00026
    0.0002        4.5    0.22233    0.96119  0.0137737   0.937768
   0.00032        4.5    0.13896    0.89331   0.013234   0.866293
    0.0005        4.5   0.088933    0.79708  0.0118368   0.800303
    0.0008        4.5   0.055583    0.72028  0.0126935   0.734515
    0.0013        4.5   0.034205    0.66549  0.0122278   0.670933
     0.002        4.5   0.022233     0.6154  0.0112024   0.618513
    0.0032        4.5   0.013896    0.57189 0.00972367   0.565746
  7.54e-05        6.5    0.85185     1.1174  0.0849678    1.11976
 8.029e-05        6.5    0.79997     1.0851  0.0504724    1.13227
  8.55e-05        6.5    0.75122      1.097  0.0402002    1.14174
 9.515e-05        6.5    0.67503     1.0838   0.040443    1.15114
  9.86e-05        6.5    0.65141     1.1774   0.036014    1.15246
   0.00013        6.5    0.49407     1.1134  0.0214142    1.14053
    0.0002        6.5    0.32115     1.1119  0.0152847    1.08113
   0.00032        6.5    0.20072     1.0013  0.0127421   0.999003
    0.0005        6.5    0.12846    0.93276  0.0150812   0.919775
    0.0008        6.5   0.080287    0.84903  0.0122373   0.839867
    0.0013        6.5   0.049407    0.75842  0.0120345   0.762489
     0.002        6.5   0.032115    0.69498 0.00980721   0.698712
    0.0032        6.5   0.020072    0.64107  0.0107091   0.634584
     0.005        6.5   0.012846    0.57884  0.0092303   0.578427
  9.86e-05        8.5    0.85185     1.1609  0.0452126    1.19189
0.00010499        8.5        0.8     1.1832  0.0599352    1.20448
 0.0001118        8.5    0.75127     1.1798   0.039365    1.21341
0.00012443        8.5    0.67501     1.2585  0.0335686    1.22114
  0.000129        8.5     0.6511     1.2318  0.0313885    1.22221
  0.000139        8.5    0.60426     1.2565  0.0737371    1.22177
    0.0002        8.5    0.41996     1.1948  0.0210391    1.18438
   0.00032        8.5    0.26248      1.107   0.014186    1.09976
    0.0005        8.5    0.16798     1.0137  0.0148551    1.01134
    0.0008        8.5    0.10499    0.93089  0.0133775   0.920534
    0.0013        8.5   0.064609    0.83932  0.0123736   0.832137
     0.002        8.5   0.041996    0.76863  0.0143409   0.759279
    0.0032        8.5   0.026248    0.66098  0.0127106   0.686055
     0.005        8.5   0.016798    0.63241  0.0109513   0.621985
   0.00032         10    0.30879     1.1381  0.0273876    1.16124
    0.0005         10    0.19763     1.0581  0.0244029     1.0683
    0.0008         10    0.12352    0.97675  0.0235308   0.970788
    0.0013         10   0.076011    0.88846  0.0234933   0.875441
     0.002         10   0.049407    0.80175  0.0228096   0.796717
     0.005         10   0.019763    0.62751  0.0102588   0.648595
 0.0001392         12    0.85185     1.2808  0.0453114     1.2751
  0.000161         12     0.7365       1.34   0.026342    1.29725
 0.0001821         12    0.65116     1.2951  0.0300198    1.30114
    0.0002         12    0.59289     1.2935  0.0210965     1.2982
   0.00032         12    0.37055     1.2227  0.0150765     1.2293
    0.0005         12    0.23715     1.1453  0.0129713    1.13306
    0.0008         12    0.14822     1.0454   0.012017    1.02828
    0.0013         12   0.091213    0.93471  0.0143442    0.92487
     0.002         12   0.059289    0.85138  0.0136245   0.839404
    0.0032         12   0.037055    0.75383  0.0148208   0.753631
     0.005         12   0.023715    0.67921  0.0120694   0.678662
 0.0001741         15    0.85136     1.3403  0.0544447    1.32209
    0.0002         15    0.74111     1.3862  0.0408819    1.34211
 0.0002276         15    0.65124       1.33   0.041097    1.34566
   0.00032         15    0.46319     1.3127  0.0202004    1.30762
    0.0005         15    0.29644     1.2068  0.0133151    1.21246
    0.0008         15    0.18528     1.1049  0.0120623    1.09996
    0.0013         15    0.11402    0.97884  0.0112517   0.986592
     0.002         15   0.074111    0.86832  0.0102848   0.892543
    0.0032         15   0.046319    0.78328 0.00978003   0.798127
     0.005         15   0.029644    0.71299 0.00822391   0.715718
     0.008         15   0.018528    0.63212 0.00745219   0.636316
  0.000209         18    0.85103     1.3704    0.05659    1.35656
  0.000237         18    0.75049     1.3788  0.0326396     1.3738
  0.000268         18    0.66368     1.3718  0.0221266    1.37608
  0.000328         18    0.54227     1.3825  0.0217417    1.35963
    0.0005         18    0.35573     1.2806   0.014898    1.27621
    0.0008         18    0.22233     1.1553  0.0121182    1.15917
    0.0013         18    0.13682     1.0378  0.0111676     1.0379
     0.002         18   0.088933    0.93994  0.0105826    0.93667
    0.0032         18   0.055583    0.82948  0.0094472   0.834924
     0.005         18   0.035573     0.7438 0.00833443   0.746153
     0.008         18   0.022233      0.664 0.00755127   0.660778
   0.00029         22    0.74963     1.4338  0.0416056    1.40403
   0.00032         22    0.67935     1.4306  0.0461141    1.40621
  0.000345         22    0.63012     1.4102  0.0287335     1.4025
  0.000388         22    0.56029     1.3925  0.0221239    1.38911
    0.0005         22    0.43478     1.3823  0.0212939    1.34254
  0.000592         22    0.36721     1.3265  0.0196976     1.3018
    0.0008         22    0.27174      1.229  0.0160093    1.22435
