# Loaded 404 datapoints from ./data/hera_II_combined_sigmar.txt in Q2 range 2 - 50 GeV^2, now we have in total 404 points 
# 0.077 4.47
# === Perturbative settings ===
# Settings: lo (scheme), lobk, balpdrc
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    1 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 2 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   1 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08
# config::INTACCURACY = 0.005, config::RPOINTS = 200, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
=== Initial parameters ===

# ext. ||   Name    ||   type  ||     Value     ||  Error +/- 

   0   ||    qs0sqr ||  const  ||               0.077 ||
   1   ||alphascalingC2 ||  const  ||                4.47 ||
   2   ||       e_c ||  const  ||                15.6 ||
   3   ||anomalous_dimension ||  const  ||                1.01 ||
   4   ||icx0_nlo_impfac ||  const  ||                   1 ||
   5   ||   icx0_bk ||  const  ||                0.01 ||
   6   ||icTypicalPartonVirtualityQ0sqr ||  const  ||                   1 ||
   7   ||initialconditionY0 ||  const  ||                   0 ||
   8   ||      eta0 ||  const  ||                   0 ||
   9   ||old_sigma02 ||  const  ||             35.6952 ||
  10   ||mass_charm ||  const  ||                 1.4 ||
  11   ||mass_bottom ||  const  ||                 4.9 ||



=== Initializing Chi^2 regression ===  parameters (0.077, 4.47, 15.6, 1.01, 1, 0.01, 1, 0, 0, 35.6952, 1.4, 4.9)
#### Solving BK equation up to y=10.8198

                                                   
# Evolved up to 0.4/10.8198, h=0.711961
                                                   
# Evolved up to 0.8/10.8198, h=0.799719
                                                   
# Evolved up to 1.2/10.8198, h=0.895245
                                                   
# Evolved up to 1.6/10.8198, h=0.999951
                                                   
# Evolved up to 2/10.8198, h=1.10413
                                                   
# Evolved up to 2.4/10.8198, h=1.12031
                                                   
# Evolved up to 2.8/10.8198, h=1.13564
                                                   
# Evolved up to 3.2/10.8198, h=1.1507
                                                   
# Evolved up to 3.6/10.8198, h=1.16563
                                                   
# Evolved up to 4/10.8198, h=1.1803
                                                   
# Evolved up to 4.4/10.8198, h=1.19439
                                                   
# Evolved up to 4.8/10.8198, h=1.20827
                                                   
# Evolved up to 5.2/10.8198, h=1.22218
                                                   
# Evolved up to 5.6/10.8198, h=1.23599
                                                   
# Evolved up to 6/10.8198, h=1.24925
                                                   
# Evolved up to 6.4/10.8198, h=1.26246
                                                   
# Evolved up to 6.8/10.8198, h=1.27562
                                                   
# Evolved up to 7.2/10.8198, h=1.28882
                                                   
# Evolved up to 7.6/10.8198, h=1.30153
                                                   
# Evolved up to 8/10.8198, h=1.31422
                                                   
# Evolved up to 8.4/10.8198, h=1.3267
                                                   
# Evolved up to 8.8/10.8198, h=1.33794
                                                   
# Evolved up to 9.2/10.8198, h=1.33586
                                                   
# Evolved up to 9.6/10.8198, h=1.35899
                                                   
# Evolved up to 10/10.8198, h=1.37673
                                                   
# Evolved up to 10.4/10.8198, h=1.38892
                                                   
# Evolved up to 10.8/10.8198, h=1.40072
                                                   
# Evolved up to 11.2/10.8198, h=1.41257
#AmplitudeLib initialized , minr: 1e-06 maxr: 27.5255 rpoints: 200 maxy 11.2 x0 0.01 Q_{s,0}^2 = 0.289521 GeV^2 [ N(r^2=2/Q_s^2, x=x0) = 0.3934] (AmplitudeLib v. 2.1 2017-07-25 git commit deb0171bfc81b828f6432ed07df21e25a9196eb4)
# Using parent dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
=== Computing Reduced Cross sections ===
  2.47e-05          2    0.80012    0.78079   0.042438   0.777216
 2.928e-05          2    0.67496    0.78789  0.0210215   0.794733
     5e-05          2    0.39526    0.82276  0.0218716   0.784549
     8e-05          2    0.24704    0.76154  0.0146753   0.743842
   0.00013          2    0.15202    0.72306  0.0145568   0.695661
    0.0002          2   0.098814    0.67867  0.0142209   0.652935
   0.00032          2   0.061759    0.62657   0.014632   0.608067
    0.0005          2   0.039526    0.57473  0.0156527   0.567613
     0.001          2   0.019763    0.50981   0.011836   0.509341
    0.0032          2  0.0061759    0.42584  0.0111836   0.424658
 3.088e-05        2.7    0.86398    0.84531  0.0340425   0.856596
  3.66e-05        2.7    0.72896    0.86644  0.0261668   0.882774
  4.09e-05        2.7    0.65232    0.93728  0.0813918   0.891188
     5e-05        2.7     0.5336    0.88325  0.0215437   0.892498
     8e-05        2.7     0.3335    0.88929  0.0134813   0.858197
   0.00013        2.7    0.20523    0.80497  0.0108574   0.803884
    0.0002        2.7     0.1334    0.78138  0.0157357   0.753005
   0.00032        2.7   0.083374    0.69971  0.0126271   0.698857
    0.0005        2.7    0.05336    0.64484   0.011883    0.64987
    0.0008        2.7    0.03335    0.59438  0.0132896   0.601244
    0.0013        2.7   0.020523    0.56672  0.0115128   0.554286
     0.002        2.7    0.01334     0.4812  0.0146786   0.515545
     0.005        2.7   0.005336    0.45307   0.011038   0.442537
  4.06e-05        3.5    0.85185    0.80554  0.0605292   0.939542
 4.323e-05        3.5    0.80002    0.88079  0.0469842   0.951654
   4.6e-05        3.5    0.75185    0.96533  0.0425504   0.960845
 5.124e-05        3.5    0.67496    0.94011  0.0326683   0.970784
  5.31e-05        3.5    0.65132    0.88015  0.0367191   0.972561
     8e-05        3.5    0.43231    0.95226  0.0207647   0.958803
   0.00013        3.5    0.26604    0.91787  0.0123209   0.903573
    0.0002        3.5    0.17292    0.85416  0.0115236   0.845974
   0.00032        3.5    0.10808    0.79091  0.0112626   0.783114
    0.0005        3.5    0.06917    0.74923  0.0123658    0.72587
    0.0008        3.5   0.043231    0.65903  0.0107034   0.668947
    0.0013        3.5   0.026604    0.62339  0.0118094   0.613964
     0.002        3.5   0.017292     0.5684 0.00748475   0.568639
     0.008        3.5  0.0043231    0.46195 0.00779102   0.444638
  5.22e-05        4.5    0.85185    0.91607  0.0706424    1.01596
  5.92e-05        4.5    0.75112    0.97144  0.0404409    1.03806
 6.176e-05        4.5    0.71999    0.97035   0.048434    1.04297
  6.83e-05        4.5    0.65105     1.0796  0.0318255    1.04984
  7.32e-05        4.5    0.60746     1.0187  0.0299488    1.05115
  8.18e-05        4.5     0.5436     1.0795   0.169123    1.04846
   0.00013        4.5    0.34205     1.0204  0.0175007    1.00328
    0.0002        4.5    0.22233    0.96119  0.0137737   0.940907
   0.00032        4.5    0.13896    0.89331   0.013234   0.869483
    0.0005        4.5   0.088933    0.79708  0.0118368   0.803542
    0.0008        4.5   0.055583    0.72028  0.0126935   0.737806
    0.0013        4.5   0.034205    0.66549  0.0122278   0.674278
     0.002        4.5   0.022233     0.6154  0.0112024   0.621922
    0.0032        4.5   0.013896    0.57189 0.00972367   0.569224
  7.54e-05        6.5    0.85185     1.1174  0.0849678    1.12344
 8.029e-05        6.5    0.79997     1.0851  0.0504724    1.13605
  8.55e-05        6.5    0.75122      1.097  0.0402002    1.14561
 9.515e-05        6.5    0.67503     1.0838   0.040443    1.15511
  9.86e-05        6.5    0.65141     1.1774   0.036014    1.15647
   0.00013        6.5    0.49407     1.1134  0.0214142    1.14472
    0.0002        6.5    0.32115     1.1119  0.0152847    1.08543
   0.00032        6.5    0.20072     1.0013  0.0127421    1.00331
    0.0005        6.5    0.12846    0.93276  0.0150812   0.924063
    0.0008        6.5   0.080287    0.84903  0.0122373    0.84412
    0.0013        6.5   0.049407    0.75842  0.0120345    0.76671
     0.002        6.5   0.032115    0.69498 0.00980721   0.702911
    0.0032        6.5   0.020072    0.64107  0.0107091   0.638764
     0.005        6.5   0.012846    0.57884  0.0092303   0.582616
  9.86e-05        8.5    0.85185     1.1609  0.0452126    1.19656
0.00010499        8.5        0.8     1.1832  0.0599352    1.20927
 0.0001118        8.5    0.75127     1.1798   0.039365    1.21829
0.00012443        8.5    0.67501     1.2585  0.0335686    1.22612
  0.000129        8.5     0.6511     1.2318  0.0313885    1.22725
  0.000139        8.5    0.60426     1.2565  0.0737371    1.22687
    0.0002        8.5    0.41996     1.1948  0.0210391    1.18963
