# Loaded 669 datapoints from ./data/hera_II_combined_sigmar.txt in Q2 range 0.5 - 1000 GeV^2, now we have in total 669 points 
# 0.077 4.47
# === Perturbative settings ===
# Settings: lo (scheme), lobk, balpdrc
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    1 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 2 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   1 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08
# config::INTACCURACY = 0.005, config::RPOINTS = 200, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
=== Initial parameters ===

# ext. ||   Name    ||   type  ||     Value     ||  Error +/- 

   0   ||    qs0sqr ||  const  ||               0.077 ||
   1   ||alphascalingC2 ||  const  ||                4.47 ||
   2   ||       e_c ||  const  ||                15.6 ||
   3   ||anomalous_dimension ||  const  ||                1.01 ||
   4   ||icx0_nlo_impfac ||  const  ||                   1 ||
   5   ||   icx0_bk ||  const  ||                0.01 ||
   6   ||icTypicalPartonVirtualityQ0sqr ||  const  ||                   1 ||
   7   ||initialconditionY0 ||  const  ||                   0 ||
   8   ||      eta0 ||  const  ||                   0 ||
   9   ||old_sigma02 ||  const  ||             35.6952 ||
  10   ||mass_charm ||  const  ||                 1.4 ||
  11   ||mass_bottom ||  const  ||                 4.9 ||



=== Initializing Chi^2 regression ===  parameters (0.077, 4.47, 15.6, 1.01, 1, 0.01, 1, 0, 0, 35.6952, 1.4, 4.9)
#### Solving BK equation up to y=10.8198
                                                   # Evolved up to 0.4/10.8198, h=0.711961                                                   # Evolved up to 0.8/10.8198, h=0.799719                                                   # Evolved up to 1.2/10.8198, h=0.895245                                                   # Evolved up to 1.6/10.8198, h=0.999951                                                   # Evolved up to 2/10.8198, h=1.10413                                                   # Evolved up to 2.4/10.8198, h=1.12031                                                   # Evolved up to 2.8/10.8198, h=1.13564                                                   # Evolved up to 3.2/10.8198, h=1.1507                                                   # Evolved up to 3.6/10.8198, h=1.16563                                                   # Evolved up to 4/10.8198, h=1.1803                                                   # Evolved up to 4.4/10.8198, h=1.19439                                                   # Evolved up to 4.8/10.8198, h=1.20827                                                   # Evolved up to 5.2/10.8198, h=1.22218                                                   # Evolved up to 5.6/10.8198, h=1.23599                                                   # Evolved up to 6/10.8198, h=1.24925                                                   # Evolved up to 6.4/10.8198, h=1.26246                                                   # Evolved up to 6.8/10.8198, h=1.27562                                                   # Evolved up to 7.2/10.8198, h=1.28882                                                   # Evolved up to 7.6/10.8198, h=1.30153                                                   # Evolved up to 8/10.8198, h=1.31422                                                   # Evolved up to 8.4/10.8198, h=1.3267                                                   # Evolved up to 8.8/10.8198, h=1.33794                                                   # Evolved up to 9.2/10.8198, h=1.33586                                                   # Evolved up to 9.6/10.8198, h=1.35899                                                   # Evolved up to 10/10.8198, h=1.37673                                                   # Evolved up to 10.4/10.8198, h=1.38892                                                   # Evolved up to 10.8/10.8198, h=1.40072                                                   # Evolved up to 11.2/10.8198, h=1.41257
#AmplitudeLib initialized , minr: 1e-06 maxr: 27.5255 rpoints: 200 maxy 11.2 x0 0.01 Q_{s,0}^2 = 0.289521 GeV^2 [ N(r^2=2/Q_s^2, x=x0) = 0.3934] (AmplitudeLib v. 2.1 2017-07-25 git commit deb0171bfc81b828f6432ed07df21e25a9196eb4)
# Using parent dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
=== Computing Reduced Cross sections ===
    0.0008         60    0.74111     1.4831  0.0357802    1.46582
    0.0013         90     0.6841      1.466  0.0314074    1.43679
    0.0015         90    0.59289     1.4219  0.0308198    1.40982
     0.002         90    0.44466       1.27  0.0630706    1.32809
    0.0016        120    0.74111     1.4388  0.0321247    1.41999
     0.002        120    0.59289     1.3558  0.0225608    1.37488
    0.0032        120    0.37055     1.2184  0.0216398    1.22834
     0.002        150    0.74111     1.3552  0.0313372     1.3889
    0.0032        150    0.46319     1.2286  0.0182816    1.26692
     0.005        150    0.29644     1.1088  0.0187116      1.112
     0.008        150    0.18528    0.95164  0.0214959   0.952087
    0.0026        200    0.76011     1.2836  0.0320939    1.34784
    0.0032        200    0.61759     1.2495  0.0218003    1.30154
     0.005        200    0.39526     1.1112  0.0142192     1.1569
     0.008        200    0.24704    0.94415  0.0127064   0.991177
    0.0033        250    0.74859     1.2701  0.0329557    1.30215
     0.005        250    0.49407     1.1238  0.0175627    1.18603
     0.008        250    0.30879    0.96093  0.0127142    1.02041
    0.0039        300    0.76011     1.2157  0.0329878    1.26704
     0.005        300    0.59289     1.1566  0.0234582    1.20308
     0.008        300    0.37055    0.98719  0.0139631    1.04287
    0.0053        400    0.74577     1.1528  0.0323243    1.19625
     0.008        400    0.49407     1.0323  0.0159575    1.07285
    0.0066        500    0.74859     1.0587  0.0307689    1.13904
     0.008        500    0.61759     1.0065    0.02497    1.08769
    0.0085        650    0.75564    0.98713  0.0283224    1.07363
  7.32e-06        0.5    0.67496    0.42844  0.0385674   0.400531
  1.58e-05        0.5     0.3127    0.42553  0.0191955    0.39235
  2.12e-05        0.5    0.23305    0.38987  0.0116481   0.382105
  2.76e-05        0.5    0.17901    0.37692  0.0103219   0.372089
  3.98e-05        0.5    0.12414    0.36428  0.0112967   0.357797
    0.0001        0.5   0.049407    0.34846 0.00961645   0.322464
  0.000251        0.5   0.019684     0.3078 0.00879908   0.289624
  0.000368        0.5   0.013426    0.30043 0.00909894   0.276901
    0.0008        0.5  0.0061759    0.28667 0.00834167   0.252879
    0.0032        0.5   0.001544    0.18222  0.0238985   0.216732
  9.52e-06       0.65    0.67468    0.46436  0.0259279    0.46432
  1.58e-05       0.65    0.40651    0.46249  0.0298242   0.463192
  3.98e-05       0.65    0.16138    0.47214  0.0173826   0.424454
  5.98e-05       0.65    0.10741    0.41641  0.0158812   0.405078
    0.0001       0.65   0.064229    0.40885  0.0133638   0.381064
  0.000251       0.65   0.025589      0.361  0.0110538   0.340494
  0.000478       0.65   0.013437    0.33222  0.0111278    0.31447
    0.0008       0.65  0.0080287    0.31814 0.00958448   0.295131
    0.0032       0.65  0.0020072     0.2236  0.0150972   0.250357
  1.24e-05       0.85    0.67736    0.55217  0.0233355   0.534759
     2e-05       0.85    0.41996    0.61122  0.0362576   0.534297
  3.98e-05       0.85    0.21104    0.55833  0.0182527   0.501197
     5e-05       0.85    0.16798    0.54141  0.0318447   0.488217
    0.0001       0.85   0.083992    0.50299  0.0298452   0.448496
  0.000251       0.85   0.033463    0.39692  0.0281812   0.398547
    0.0008       0.85   0.010499    0.34934  0.0192821   0.342696
    0.0032       0.85  0.0026248     0.3076  0.0167688   0.287421
  1.76e-05        1.2    0.67373    0.59235  0.0248785   0.632808
     2e-05        1.2    0.59289    0.66728  0.0258909   0.636999
   3.2e-05        1.2    0.37055    0.68516  0.0237629    0.62485
  6.31e-05        1.2    0.18792    0.64885  0.0160523   0.580127
     8e-05        1.2    0.14822    0.59452   0.018369   0.562801
   0.00013        1.2   0.091213    0.54274  0.0312465   0.527773
  0.000158        1.2   0.075049    0.53274  0.0133283   0.514057
  0.000398        1.2   0.029793    0.49272  0.0207347   0.452288
    0.0013        1.2  0.0091213    0.37212  0.0173396   0.383176
     0.005        1.2  0.0023715     0.2979  0.0161828   0.319376
 1.853e-05        1.5     0.7999    0.61878  0.0444278   0.683889
 2.196e-05        1.5    0.67496    0.69589  0.0215523   0.699393
   3.2e-05        1.5    0.46319    0.75346  0.0226816   0.700358
     5e-05        1.5    0.29644    0.75951  0.0191226   0.673584
     8e-05        1.5    0.18528    0.69893  0.0198894   0.635772
   0.00013        1.5    0.11402    0.64584  0.0208657   0.595203
    0.0002        1.5   0.074111     0.6124  0.0238919   0.560066
   0.00032        1.5   0.046319    0.57686  0.0181581   0.523391
    0.0005        1.5   0.029644    0.54727  0.0422254   0.490391
    0.0008        1.5   0.018528    0.48973  0.0180334   0.457641
