# manually written dipole scattering amplitude S=1-N
# sqrt(s) = 319 GeV like in the real data
# x fixed, s fixed -> y = Q^2/(s*x) calculated
# r in (1e-6, 30), logarithmic step size # pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
          0.001           1e-06               1
          0.001     1.03503e-06               1
          0.001     1.07129e-06               1
          0.001     1.10882e-06               1
          0.001     1.14767e-06               1
          0.001     1.18788e-06               1
          0.001     1.22949e-06               1
          0.001     1.27256e-06               1
          0.001     1.31715e-06               1
          0.001     1.36329e-06               1
          0.001     1.41105e-06               1
          0.001     1.46048e-06               1
          0.001     1.51165e-06               1
          0.001     1.56461e-06               1
          0.001     1.61942e-06               1
          0.001     1.67615e-06               1
          0.001     1.73487e-06               1
          0.001     1.79565e-06               1
          0.001     1.85856e-06               1
          0.001     1.92367e-06               1
          0.001     1.99106e-06               1
          0.001     2.06082e-06               1
          0.001     2.13301e-06               1
          0.001     2.20774e-06               1
          0.001     2.28508e-06               1
          0.001     2.36514e-06               1
          0.001     2.44799e-06               1
          0.001     2.53375e-06               1
          0.001     2.62252e-06               1
          0.001     2.71439e-06               1
          0.001     2.80949e-06               1
          0.001     2.90791e-06               1
          0.001     3.00979e-06               1
          0.001     3.11523e-06               1
          0.001     3.22437e-06               1
          0.001     3.33732e-06               1
          0.001     3.45424e-06               1
          0.001     3.57525e-06               1
          0.001     3.70051e-06               1
          0.001     3.83015e-06               1
          0.001     3.96433e-06               1
          0.001     4.10321e-06               1
          0.001     4.24696e-06               1
          0.001     4.39574e-06               1
          0.001     4.54974e-06               1
          0.001     4.70913e-06               1
          0.001     4.87411e-06               1
          0.001     5.04486e-06               1
          0.001      5.2216e-06               1
          0.001     5.40453e-06               1
          0.001     5.59387e-06               1
          0.001     5.78984e-06               1
          0.001     5.99267e-06               1
          0.001     6.20262e-06               1
          0.001     6.41991e-06               1
          0.001     6.64482e-06               1
          0.001     6.87761e-06               1
          0.001     7.11855e-06               1
          0.001     7.36794e-06               1
          0.001     7.62606e-06               1
          0.001     7.89323e-06               1
          0.001     8.16975e-06               1
          0.001     8.45596e-06               1
          0.001      8.7522e-06               1
          0.001     9.05882e-06               1
          0.001     9.37618e-06               1
          0.001     9.70465e-06               1
          0.001     1.00446e-05               1
          0.001     1.03965e-05               1
          0.001     1.07608e-05               1
          0.001     1.11377e-05               1
          0.001     1.15279e-05               1
          0.001     1.19318e-05               1
          0.001     1.23498e-05               1
          0.001     1.27824e-05               1
          0.001     1.32303e-05               1
          0.001     1.36938e-05               1
          0.001     1.41735e-05               1
          0.001       1.467e-05               1
          0.001      1.5184e-05               1
          0.001     1.57159e-05               1
