# manually written dipole scattering amplitude S=1-N
# sqrt(s) = 319 GeV like in the real data
# x fixed, s fixed -> y = Q^2/(s*x) calculated
# r in (1e-6, 30), linear (additive) step size 0.3 = (rmax - rmin)/100
          # xbj               r        S(r,xbj)
          0.001           1e-06               1
          0.001        0.300001        0.985717
          0.001        0.600001        0.957465
          0.001        0.900001        0.921628
          0.001             1.2        0.881045
          0.001             1.5        0.837412
          0.001             1.8         0.79207
          0.001             2.1        0.745939
          0.001             2.4        0.699771
          0.001             2.7        0.653831
          0.001               3         0.60937
          0.001             3.3        0.565847
          0.001             3.6        0.524187
          0.001             3.9        0.483913
          0.001             4.2         0.44644
          0.001             4.5        0.408967
          0.001             4.8        0.376649
          0.001             5.1        0.344598
          0.001             5.4        0.313329
          0.001             5.7        0.287621
          0.001               6        0.261914
          0.001             6.3        0.236206
          0.001             6.6        0.215595
          0.001             6.9        0.196552
          0.001             7.2        0.177509
          0.001             7.5        0.158466
          0.001             7.8        0.144258
          0.001             8.1        0.131453
          0.001             8.4        0.118648
          0.001             8.7        0.105843
          0.001               9       0.0932223
          0.001             9.3       0.0855455
          0.001             9.6       0.0778687
          0.001             9.9       0.0701919
          0.001            10.2       0.0625152
          0.001            10.5       0.0548384
          0.001            10.8       0.0486477
          0.001            11.1       0.0446282
          0.001            11.4       0.0406088
          0.001            11.7       0.0365893
          0.001              12       0.0325699
          0.001            12.3       0.0285504
          0.001            12.6        0.024531
          0.001            12.9       0.0221135
          0.001            13.2       0.0203218
          0.001            13.5       0.0185301
          0.001            13.8       0.0167383
          0.001            14.1       0.0149466
          0.001            14.4       0.0131549
          0.001            14.7       0.0113631
          0.001              15      0.00957142
          0.001            15.3      0.00865654
          0.001            15.6      0.00799542
          0.001            15.9       0.0073343
          0.001            16.2      0.00667318
          0.001            16.5      0.00601206
          0.001            16.8      0.00535094
          0.001            17.1      0.00468982
          0.001            17.4       0.0040287
          0.001            17.7      0.00336758
          0.001              18      0.00286446
          0.001            18.3      0.00266864
          0.001            18.6      0.00247281
          0.001            18.9      0.00227699
          0.001            19.2      0.00208116
          0.001            19.5      0.00188534
          0.001            19.8      0.00168952
          0.001            20.1      0.00149369
          0.001            20.4      0.00129787
          0.001            20.7      0.00110204
          0.001              21     0.000906221
          0.001            21.3     0.000729751
          0.001            21.6     0.000681903
          0.001            21.9     0.000634056
          0.001            22.2     0.000586208
          0.001            22.5      0.00053836
          0.001            22.8     0.000490512
          0.001            23.1     0.000442664
          0.001            23.4     0.000394817
          0.001            23.7     0.000346969
          0.001              24     0.000299121
          0.001            24.3     0.000251273
          0.001            24.6     0.000203425
          0.001            24.9     0.000155578
          0.001            25.2      0.00010773
          0.001            25.5     9.89369e-05
          0.001            25.8     9.89369e-05
          0.001            26.1     9.89369e-05
          0.001            26.4     9.89369e-05
          0.001            26.7     9.89369e-05
          0.001              27     9.89369e-05
          0.001            27.3     9.89369e-05
          0.001            27.6     9.89369e-05
          0.001            27.9     9.89369e-05
          0.001            28.2     9.89369e-05
          0.001            28.5     9.89369e-05
          0.001            28.8     9.89369e-05
          0.001            29.1     9.89369e-05
          0.001            29.4     9.89369e-05
          0.001            29.7     9.89369e-05
          0.001              30     9.89369e-05
