# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 5e+07, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.104, alphas_scaling=14.5, gamma=1, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=48.4781, q_mass_c=0, q_mass_b=0
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.104000_asC^214.500000_gamma1.000000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r 
          0.001            0.25      0.00245674        0.159297 
          0.001        0.330442      0.00324723        0.190978 
          0.001        0.436767      0.00429208        0.226683 
          0.001        0.577304      0.00567313        0.266519 
          0.001        0.763061      0.00749856        0.310572 
          0.001         1.00859      0.00991135        0.358863 
          0.001        0.255423      0.00251003        0.161593 
          0.001         1.33312       0.0131005        0.411427 
          0.001        0.337609      0.00331767         0.19358 
          0.001         1.76207       0.0173158        0.468344 
          0.001        0.446241      0.00438518        0.229601 
          0.001         2.32905       0.0228874        0.529664 
          0.001         3.07846       0.0302518        0.595403 
          0.001        0.260963      0.00256447        0.163912 
          0.001        0.589826      0.00579619        0.269757 
          0.001           4.069       0.0399859        0.665651 
          0.001        0.779613      0.00766121        0.314133 
          0.001         5.37827        0.052852        0.740417 
          0.001        0.344932      0.00338963        0.196206 
          0.001         7.10882        0.069858        0.819838 
          0.001         15.3923        0.151259          1.0633 
          0.001         1.03047       0.0101263         0.36274 
          0.001         9.19672       0.0903757        0.897217 
          0.001         0.45592       0.0044803        0.232542 
          0.001         1.36204       0.0133847        0.415651 
          0.001        0.266624       0.0026201        0.166245 
          0.001         11.8978        0.116919        0.978394 
          0.001         19.9131        0.195685         1.15145 
          0.001         0.60262      0.00592192        0.273019 
          0.001         1.80029       0.0176914        0.472904 
          0.001        0.352414      0.00346316        0.198853 
          0.001         25.7616        0.253158         1.24184 
          0.001          33.328        0.327512         1.33254 
          0.001        0.796523      0.00782739         0.31772 
          0.001        0.272407      0.00267693         0.16861 
          0.001         2.37957       0.0233839        0.534563 
          0.001         0.46581      0.00457749        0.235504 
          0.001         43.1166        0.423704         1.41951 
          0.001         55.7801        0.548148         1.49451 
          0.001         1.05282        0.010346        0.366656 
          0.001         3.14523        0.030908        0.600642 
          0.001          72.163        0.709142         1.54146 
          0.001        0.360059      0.00353828        0.201527 
          0.001         93.3576         0.91742         1.53798 
          0.001        0.615692      0.00605037        0.276307 
          0.001        0.475913      0.00467678        0.238494 
          0.001        0.278316        0.002735        0.170999 
          0.001         4.15726       0.0408532        0.671252 
          0.001         1.39158        0.013675        0.419901 
          0.001         1.83934       0.0180751        0.477494 
