# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.104, alphas_scaling=14.5, gamma=1, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=48.4781, q_mass_c=0, q_mass_b=0
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.104000_asC^214.500000_gamma1.000000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=1e-05
# printing dipole at xbj=1e-07
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01            0.25     0.000245674        0.118663       0.0193181       0.0993448 
           0.01        0.377465     0.000370933        0.150741       0.0267881        0.123953 
           0.01        0.569918     0.000560056        0.186921       0.0351523        0.151769 
          0.002            0.25      0.00122837        0.145426       0.0231033        0.122322 
          0.001         0.83862      0.00824108        0.326434       0.0630955        0.263341 
          0.002        0.377465      0.00185466        0.188194       0.0328714        0.155323 
          0.001            0.25      0.00245674        0.159297        0.025048         0.13425 
           0.01          1.2662      0.00124429        0.267242       0.0524824         0.21476 
           0.01         1.91178       0.0018787        0.313452       0.0614632        0.251989 
          1e-05            0.25        0.245674        0.277965       0.0408961        0.238642 
          0.002        0.569918      0.00280028        0.238233       0.0443986        0.193835 
          1e-05         0.83862        0.824108        0.559988        0.119597        0.519178 
          0.001        0.377465      0.00370933        0.207496       0.0359599        0.171536 
          0.001         2.81314       0.0276446        0.573697        0.115174        0.458568 
           0.01        0.256521     0.000252082        0.120539       0.0197515        0.100788 
          1e-05        0.377465        0.370933        0.370516       0.0615041        0.315075 
           0.01         4.24744      0.00417394        0.411753       0.0783676        0.333386 
          0.001        0.569918      0.00560056        0.264588        0.049059         0.21553 
          0.001         9.43662       0.0927331        0.905166        0.175474         0.73052 
          0.002        0.256521      0.00126041        0.147879       0.0236569        0.124222 
           0.01         6.41303      0.00630205        0.467174        0.086853        0.380322 
           0.01        0.387311     0.000380609        0.152886       0.0272886        0.125597 
          0.002          1.2662      0.00622143        0.355881       0.0705323         0.28535 
           0.01        0.860496     0.000845605        0.226795       0.0440146         0.18278 
          0.001        0.256521      0.00252082        0.162055       0.0256618        0.136393 
          1e-05        0.569918        0.560056        0.475386       0.0883365        0.410264 
          0.002         1.91178      0.00939348        0.427193       0.0853533        0.341843 
           0.01          14.248       0.0140014        0.584336        0.103152        0.481193 
          1e-05        0.256521        0.252082        0.283231       0.0420137         0.24293 
          0.002        0.387311      0.00190304        0.191106       0.0335429        0.157564 
          0.001          31.655        0.311072         1.31453        0.242203         1.08822 
           0.01         21.5124       0.0211401        0.650254        0.111672        0.538608 
           0.01        0.263213     0.000258658        0.122433       0.0201896        0.102244 
           0.01         2.88652      0.00283657        0.362727       0.0702728        0.292454 
           0.01        0.584785     0.000574665        0.189309        0.035696        0.153613 
          0.002        0.860496      0.00422803        0.295584       0.0573735        0.238211 
          0.001        0.387311      0.00380609          0.2108        0.036717        0.174083 
          0.001          1.2662       0.0124429        0.401399       0.0796154         0.32179 
           0.01         47.7945       0.0469674        0.789088        0.128529        0.660708 
          0.002        0.263213      0.00129329        0.150367       0.0242184        0.126149 
          0.002         4.24744       0.0208697        0.585994        0.115673        0.470347 
          1e-05        0.387311        0.380609        0.376841       0.0629932        0.320443 
           0.01          72.163       0.0709142        0.866686        0.137513        0.729544 
          0.001         1.91178        0.018787        0.485802       0.0974491        0.388371 
          0.001        0.263213      0.00258658        0.164846       0.0262849        0.138561 
          0.002        0.584785      0.00287333        0.241602       0.0451703        0.196432 
           0.01         108.956         0.10707        0.948298        0.146788        0.802446 
          0.001        0.860496      0.00845605        0.330845       0.0640847        0.266763 
          1e-05        0.263213        0.258658        0.288571       0.0431533        0.247281 
           0.01        0.397414     0.000390537        0.155044       0.0277926        0.127251 
          0.002         6.41303       0.0315103        0.678825        0.131942        0.546951 
           0.01         1.29923      0.00127674        0.270039       0.0530469        0.216992 
          0.001        0.584785      0.00574665        0.268459       0.0499451        0.218515 
           0.01        0.270079     0.000265405        0.124344       0.0206326        0.103712 
           0.01         9.68278      0.00951521         0.52598        0.095269        0.430716 
          1e-05        0.860496        0.845605         0.56395          0.1219        0.527185 
          0.002        0.397414      0.00195268        0.194049        0.034222        0.159827 
          0.002         2.88652       0.0141828        0.505746        0.100799        0.404957 
          0.002        0.270079      0.00132703        0.152884       0.0247877        0.128096 
          1e-05        0.584785        0.574665        0.481899       0.0902327          0.4169 
           0.01         1.96165       0.0019277        0.316443        0.062021        0.254422 
          0.001        0.397414      0.00390537        0.214139       0.0374821        0.176657 
          0.001         4.24744       0.0417394        0.676866        0.134947        0.542042 
          0.002          14.248        0.070007        0.880378        0.164515        0.716295 
          0.001        0.270079      0.00265405        0.167661       0.0269171        0.140744 
          0.002         1.29923      0.00638372        0.360125       0.0714374         0.28869 
           0.01        0.882943     0.000867663        0.229403       0.0445768        0.184826 
          1e-05        0.270079        0.265405         0.29398       0.0443147        0.251693 
          1e-05        0.397414        0.390537        0.383257        0.064506        0.325925 
           0.01        0.600039     0.000589655        0.191711       0.0362412         0.15547 
          0.002         21.5124        0.105701        0.995718        0.181911        0.814936 
           0.01        0.277124     0.000272328        0.126284       0.0210803        0.105204 
           0.01         32.4807       0.0319186        0.720023        0.120267        0.599819 
          0.001         6.41303       0.0630205        0.789997        0.155512        0.634815 
           0.01        0.407781     0.000400724         0.15722          0.0283        0.128921 
          0.001         2.88652       0.0283657        0.579856        0.116384        0.463521 
          0.002        0.600039      0.00294828        0.245006       0.0459525        0.199053 
          0.001         1.29923       0.0127674        0.406398       0.0806955        0.325709 
          0.002         1.96165      0.00963852        0.431891       0.0863014        0.345594 
          0.002        0.277124      0.00136164        0.155428       0.0253647        0.130064 
          0.002        0.882943      0.00433832        0.299407       0.0582238        0.241184 
          0.002        0.407781      0.00200362         0.19702       0.0349075        0.162112 
          0.002         47.7945        0.234837         1.23826         0.21687         1.02894 
          0.001        0.277124      0.00272328        0.170519       0.0275585        0.142961 
          0.002         9.68278       0.0475761        0.779216        0.148561        0.630831 
          0.001        0.600039      0.00589655        0.272365       0.0508385        0.221527 
          1e-05        0.277124        0.272328        0.299463       0.0454981        0.256171 
           0.01         4.35824      0.00428282        0.415116       0.0788993        0.336218 
          0.001        0.882943      0.00867663        0.335293       0.0650804        0.270215 
          0.001        0.407781      0.00400724        0.217513       0.0382561        0.179257 
          0.002          72.163        0.354571         1.36635        0.235729         1.15154 
           0.01        0.284353     0.000279432         0.12823       0.0215327        0.106698 
          1e-05        0.600039        0.589655        0.488353       0.0921547        0.423622 
           0.01         1.33312      0.00131005        0.272851       0.0536107         0.21924 
          0.001         1.96165        0.019277        0.491395       0.0986013        0.392812 
          1e-05        0.407781        0.400724        0.389684        0.066044        0.331443 
          0.001          14.248        0.140014         1.03746        0.197471        0.842213 
          0.002         108.956        0.535352         1.47767        0.254984         1.28279 
           0.01         2.96182      0.00291056        0.365909        0.070817        0.295093 
          1e-05        0.882943        0.867663        0.567603        0.124227        0.535289 
          0.002        0.284353      0.00139716        0.158001       0.0259492        0.132052 
           0.01        0.418418     0.000411177        0.159412       0.0288105        0.130601 
           0.01        0.615692     0.000605037        0.194128       0.0367884        0.157339 
          0.001        0.284353      0.00279432        0.173411        0.028209        0.145202 
           0.01         6.58032      0.00646645        0.470754       0.0873798        0.383376 
          0.001         21.5124        0.211401         1.17838        0.220214        0.964236 
          0.002         1.33312      0.00655024        0.364398        0.072345        0.292054 
          0.002        0.418418      0.00205589        0.200019       0.0355998        0.164419 
           0.01        0.905975     0.000890296        0.232023       0.0451398        0.186883 
          1e-05        0.284353        0.279432        0.305014       0.0467008        0.260713 
          0.002        0.615692      0.00302518        0.248431       0.0467352        0.201696 
          0.001         9.68278       0.0951521        0.913144        0.176823        0.737201 
          0.002         4.35824       0.0214141        0.591581        0.116687        0.474921 
           0.01         2.01282      0.00197799        0.319444        0.062576        0.256868 
          0.002         32.4807        0.159593         1.11839        0.199813        0.921561 
          0.001        0.418418      0.00411177        0.220923       0.0390391        0.181884 
           0.01         0.29177     0.000286721        0.130194       0.0219908        0.108203 
          0.002         2.96182       0.0145528        0.510883        0.101769        0.409124 
          0.001        0.615692      0.00605037        0.276307       0.0517385        0.224569 
          0.002        0.905975      0.00445148         0.30326       0.0590785        0.244182 
          0.002         0.29177      0.00143361        0.160602       0.0265414        0.134061 
          0.001         1.33312       0.0131005        0.411427       0.0817799        0.329654 
          1e-05        0.418418        0.411177        0.396155       0.0676066        0.337035 
          0.001         47.7945        0.469674         1.45165        0.266317         1.23119 
          0.001         0.29177      0.00286721        0.176337       0.0288688        0.147468 
          1e-05        0.615692        0.605037        0.494735       0.0941029        0.430432 
           0.01        0.429333     0.000421903        0.161621       0.0293241        0.132297 
          0.002         2.01282      0.00988994        0.436624       0.0872596        0.349369 
          0.002         6.58032       0.0323322         0.68488        0.132974        0.551978 
          1e-05         0.29177        0.286721        0.310623       0.0479297        0.265305 
          0.001        0.905975      0.00890296        0.339791       0.0660813        0.273713 
           0.01         14.6196       0.0143666        0.588355        0.103688        0.484678 
          0.001          72.163        0.709142         1.54146         0.29124         1.38526 
          0.001         4.35824       0.0428282        0.683638        0.136209         0.54756 
          0.002        0.429333      0.00210951        0.203046       0.0362985        0.166747 
           0.01        0.631752      0.00062082        0.196558       0.0373369        0.159221 
          0.001         2.96182       0.0291056        0.586048        0.117598        0.468501 
           0.01        0.299381       0.0002942        0.132174        0.022452        0.109722 
           0.01         1.36789      0.00134422         0.27567        0.054173        0.221497 
          1e-05        0.905975        0.890296        0.570933        0.126583         0.54349 
          0.002        0.299381        0.001471        0.163247        0.027141        0.136106 
          0.001        0.429333      0.00421903        0.224368       0.0398301        0.184538 
           0.01         9.93535      0.00976342        0.529764       0.0957944        0.433974 
          0.002        0.631752       0.0031041        0.251887       0.0475241        0.204363 
          0.001         2.01282       0.0197799        0.497032       0.0997584        0.397294 
          1e-05        0.429333        0.421903        0.402666       0.0691936        0.342704 
           0.01         111.798        0.109863        0.953518        0.147365        0.807145 
          0.001        0.299381        0.002942        0.179296       0.0295375        0.149759 
           0.01         22.0736       0.0216916        0.654495        0.112205        0.542317 
           0.01        0.929607      0.00091352        0.234657       0.0457035        0.188953 
          0.001         32.4807        0.319186         1.32355          0.2437         1.09681 
          0.002         1.36789      0.00672111        0.368701        0.073257        0.295446 
          1e-05        0.299381          0.2942        0.316318       0.0491817        0.269978 
          0.001        0.631752       0.0062082         0.28029       0.0526518        0.227639 
           0.01        0.440532     0.000432908        0.163842       0.0298385        0.134003 
          0.001         6.58032       0.0646645        0.797402        0.156823        0.640929 
           0.01         3.03908      0.00298648        0.369102       0.0713599        0.297743 
           0.01         4.47192      0.00439453        0.418501       0.0794328        0.339069 
           0.01        0.307191     0.000301875        0.134169       0.0229177        0.111252 
          1e-05        0.631752         0.62082         0.50102       0.0960792        0.437316 
          0.002        0.440532      0.00216454        0.206099       0.0370039        0.169095 
          0.002        0.929607       0.0045676        0.307135       0.0599321        0.247204 
           0.01         2.06533      0.00202959        0.322454       0.0631265        0.259327 
          0.002         14.6196       0.0718331         0.88738        0.165594        0.722245 
          0.001         1.36789       0.0134422        0.416499       0.0828692        0.333637 
          0.002        0.307191      0.00150937        0.165907       0.0277502        0.138157 
           0.01         49.0413       0.0481926        0.793825        0.129061        0.664921 
          0.001        0.440532      0.00432908        0.227847       0.0406294        0.187218 
           0.01        0.648232     0.000637014           0.199       0.0378867        0.161114 
          0.001        0.307191      0.00301875        0.182307       0.0302153        0.152092 
          0.001        0.929607       0.0091352        0.344312       0.0670886        0.277226 
          0.002         9.93535       0.0488171        0.785728        0.149613        0.636302 
          1e-05        0.440532        0.432908        0.409214       0.0708063        0.348449 
          1e-05        0.307191        0.301875        0.322081       0.0504568        0.274716 
          0.002         3.03908       0.0149324        0.516072         0.10276        0.413323 
          0.002        0.648232      0.00318507        0.255379       0.0483178        0.207061 
           0.01         1.40358      0.00137929        0.278503       0.0547364        0.223766 
           0.01        0.315204     0.000309749        0.136183       0.0233875        0.112795 
          0.002         2.06533       0.0101479        0.441375       0.0882135        0.353166 
          0.002         4.47192       0.0219727        0.597189        0.117692        0.479526 
          1e-05        0.929607         0.91352        0.573934        0.128967        0.551793 
           0.01        0.452023     0.000444201        0.166083       0.0303584        0.135725 
           0.01         6.75197      0.00663513        0.474336       0.0879067        0.386431 
           0.01         74.0454        0.072764        0.871691          0.1381        0.733983 
          0.002        0.315204      0.00154875        0.168594       0.0283647        0.140229 
          0.002         22.0736        0.108458         1.00317        0.183038        0.821335 
          0.001        0.648232      0.00637014        0.284304       0.0535671        0.230738 
          0.002        0.452023      0.00222101        0.209183       0.0377158        0.171468 
          0.001        0.315204      0.00309749        0.185337       0.0309041        0.154433 
           0.01          33.328       0.0327512        0.724513        0.120805        0.603774 
           0.01        0.953857      0.00093735        0.237302       0.0462671        0.191035 
          0.002         1.40358      0.00689643         0.37303       0.0741716         0.29886 
          0.001         14.6196        0.143666         1.04605        0.198873        0.849542 
          0.001        0.452023      0.00444201        0.231363       0.0414373        0.189926 
          1e-05        0.648232        0.637014        0.507211       0.0980752          0.4443 
          1e-05        0.315204        0.309749        0.327913       0.0517547        0.279521 
          0.001         3.03908       0.0298648        0.592267        0.118807        0.473514 
          0.001         2.06533       0.0202959          0.5027        0.100918        0.401803 
          0.002         111.798        0.549317         1.48328        0.256226         1.29131 
          1e-05        0.452023        0.444201        0.415794       0.0724444        0.354271 
          0.001         9.93535       0.0976342        0.921163        0.178175        0.743925 
          0.001         4.47192       0.0439453        0.690461        0.137476        0.553124 
           0.01        0.323426     0.000317829        0.138213       0.0238615        0.114352 
          0.002        0.953857      0.00468675        0.311034       0.0607952        0.250239 
           0.01        0.665141     0.000653631        0.201459       0.0384392         0.16302 
          0.001         1.40358       0.0137929        0.421608       0.0839628        0.337653 
          0.002        0.323426      0.00158915        0.171309       0.0289869        0.142322 
           0.01        0.463815     0.000455788        0.168338       0.0308809        0.137457 
          0.002         6.75197       0.0331756        0.690961        0.134007         0.55703 
          0.002         49.0413        0.240963         1.24639        0.218038         1.03639 
          0.001        0.323426      0.00317829        0.188399       0.0315995          0.1568 
           0.01          2.1192      0.00208253        0.325481       0.0636815          0.2618 
          0.002        0.665141      0.00326815        0.258891       0.0491164        0.209775 
          0.001        0.953857       0.0093735        0.348869       0.0681011        0.280771 
          0.002        0.463815      0.00227894        0.212297       0.0384348        0.173863 
          1e-05        0.323426        0.317829        0.333812       0.0530756        0.284396 
           0.01         3.11835      0.00306439        0.372313       0.0719077        0.300405 
          0.001        0.463815      0.00455788        0.234909       0.0422527        0.192657 
          0.001         22.0736        0.216916         1.18735        0.221658        0.972161 
           0.01         1.44019      0.00141527        0.281347       0.0552994        0.226047 
          0.001        0.665141      0.00653631        0.288353       0.0544892        0.233865 
          1e-05        0.953857         0.93735        0.576591         0.13138        0.560194 
           0.01        0.331863      0.00032612         0.14026       0.0243394         0.11592 
           0.01         4.58857      0.00450917        0.421895       0.0799651        0.341931 
          1e-05        0.463815        0.455788        0.422396       0.0741073        0.360166 
