# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.104, alphas_scaling=14.5, gamma=1, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=48.4781, q_mass_c=0, q_mass_b=0
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.104000_asC^214.500000_gamma1.000000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
          0.001            0.25      0.00245674        0.159297        0.025048         0.13425 
          0.001        0.377465      0.00370933        0.207496       0.0359599        0.171536 
          0.001        0.256521      0.00252082        0.162055       0.0256618        0.136393 
          0.001        0.569918      0.00560056        0.264588        0.049059         0.21553 
          0.001        0.860496      0.00845605        0.330845       0.0640847        0.266763 
          0.001        0.263213      0.00258658        0.164846       0.0262849        0.138561 
          0.001        0.387311      0.00380609          0.2108        0.036717        0.174083 
          0.001         1.29923       0.0127674        0.406398       0.0806955        0.325709 
          0.001        0.584785      0.00574665        0.268459       0.0499451        0.218515 
          0.001         1.96165        0.019277        0.491395       0.0986013        0.392812 
          0.001        0.270079      0.00265405        0.167661       0.0269171        0.140744 
          0.001         2.96182       0.0291056        0.586048        0.117598        0.468501 
          0.001        0.397414      0.00390537        0.214139       0.0374821        0.176657 
          0.001        0.882943      0.00867663        0.335293       0.0650804        0.270215 
          0.001         4.47192       0.0439453        0.690461        0.137476        0.553124 
          0.001        0.277124      0.00272328        0.170519       0.0275585        0.142961 
          0.001        0.600039      0.00589655        0.272365       0.0508385        0.221527 
          0.001        0.407781      0.00400724        0.217513       0.0382561        0.179257 
          0.001         6.75197       0.0663513        0.804827        0.158134        0.647064 
          0.001         1.33312       0.0131005        0.411427       0.0817799        0.329654 
          0.001        0.284353      0.00279432        0.173411        0.028209        0.145202 
          0.001         10.1945        0.100181        0.929243        0.179544        0.750695 
          0.001        0.615692      0.00605037        0.276307       0.0517385        0.224569 
          0.001         15.3923        0.151259          1.0633        0.201668        0.864313 
          0.001        0.905975      0.00890296        0.339791       0.0660813        0.273713 
          0.001         0.29177      0.00286721        0.176337       0.0288688        0.147468 
          0.001         2.01282       0.0197799        0.497032       0.0997584        0.397294 
          0.001        0.418418      0.00411177        0.220923       0.0390391        0.181884 
          0.001         23.2402         0.22838         1.20545        0.224555         0.98824 
          0.001        0.299381        0.002942        0.179296       0.0295375        0.149759 
          0.001         4.58857       0.0450917        0.697308        0.138734        0.558722 
          0.001         34.1973        0.336055         1.34156        0.246677         1.11421 
          0.001         3.03908       0.0298648        0.592267        0.118807        0.473514 
          0.001        0.429333      0.00421903        0.224368       0.0398301        0.184538 
          0.001        0.631752       0.0062082         0.28029       0.0526518        0.227639 
          0.001         1.36789       0.0134422        0.416499       0.0828692        0.333637 
          0.001        0.307191      0.00301875        0.182307       0.0302153        0.152092 
          0.001         50.3205        0.494497         1.46671         0.26941         1.24977 
          0.001        0.929607       0.0091352        0.344312       0.0670886        0.277226 
          0.001         74.0454         0.72764         1.54376        0.292855         1.39525 
          0.001        0.440532      0.00432908        0.227847       0.0406294        0.187218 
          0.001        0.315204      0.00309749        0.185337       0.0309041        0.154433 
          0.001        0.648232      0.00637014        0.284304       0.0535671        0.230738 
          0.001         2.06533       0.0202959          0.5027        0.100918        0.401803 
          0.001          6.9281       0.0680821        0.812314        0.159447        0.653263 
          0.001        0.452023      0.00444201        0.231363       0.0414373        0.189926 
          0.001        0.953857       0.0093735        0.348869       0.0681011        0.280771 
          0.001        0.323426      0.00317829        0.188399       0.0315995          0.1568 
          0.001         1.40358       0.0137929        0.421608       0.0839628        0.337653 
          0.001         4.70827       0.0462679        0.704195        0.140003        0.564349 
          0.001        0.665141      0.00653631        0.288353       0.0544892        0.233865 
          0.001         3.11835       0.0306439        0.598548        0.120034        0.478572 
          0.001         10.4605        0.102794         0.93735        0.180899         0.75751 
          0.001        0.331863       0.0032612        0.191496       0.0323044        0.159192 
          0.001        0.463815      0.00455788        0.234909       0.0422527        0.192657 
          0.001         15.7938        0.155205         1.07198        0.203076        0.871759 
          0.001        0.978738      0.00961801        0.353458       0.0691141        0.284347 
          0.001         0.34052      0.00334627        0.194627       0.0330178         0.16161 
          0.001        0.682492      0.00670681        0.292449        0.055418        0.237033 
          0.001          2.1192       0.0208253        0.508403        0.102083        0.406343 
          0.001         1.44019       0.0141527        0.426752       0.0850604        0.341701 
          0.001        0.475913      0.00467678        0.238494       0.0430762        0.195418 
          0.001        0.349402      0.00343356         0.19779       0.0337405         0.16405 
          0.001         23.8464        0.234337         1.21453        0.226013        0.996342 
          0.001        0.488328      0.00479877        0.242114       0.0439077        0.198207 
          0.001         1.00427       0.0098689        0.358088       0.0701386        0.287952 
          0.001        0.700295      0.00688176        0.296572       0.0563542        0.240219 
          0.001         35.0894        0.344822         1.35044        0.248171         1.12291 
          0.001         7.10882        0.069858        0.819838        0.160774        0.659486 
          0.001        0.358517      0.00352312        0.200991       0.0344715        0.166519 
          0.001         3.19969       0.0314432        0.604857         0.12125        0.483669 
          0.001         4.83109       0.0474748        0.711128        0.141279        0.570016 
          0.001         1.47776       0.0145218        0.431935        0.086165         0.34578 
          0.001        0.501066      0.00492395        0.245768       0.0447447        0.201023 
          0.001        0.367869      0.00361503        0.204226       0.0352115        0.169015 
          0.001         2.17448       0.0213685        0.514156        0.103262        0.410919 
          0.001         51.6332        0.507396         1.47398        0.270899          1.2592 
          0.001        0.718562      0.00706127        0.300729       0.0572973        0.243433 
          0.001         10.7333        0.105476        0.945492        0.182266        0.764352 
          0.001         1.03047       0.0101263         0.36274       0.0711696        0.291574 
